ID,Soil_Texture,MAXSMC,DRYSMC,BB,SATPSI,SATDK
1,SAND,0.339,0.010,4.05,0.121,1.76e-04
2,LOAMY SAND,0.421,0.028,4.38,0.090,1.56e-04
3,SANDY LOAM,0.434,0.047,4.90,0.218,3.47e-05
4,SILT LOAM,0.476,0.084,5.30,0.786,7.20e-06
5,SILT,0.476,0.084,5.30,0.786,7.20e-06
6,LOAM,0.439,0.066,5.39,0.478,6.95e-06
7,SANDY CLAY LOAM,0.404,0.067,7.12,0.299,6.30e-06
8,SILTY CLAY LOAM,0.464,0.120,7.75,0.356,1.70e-06
9,CLAY LOAM,0.465,0.103,8.52,0.630,2.45e-06
10,SANDY CLAY,0.406,0.100,10.40,0.153,2.17e-06
11,SILTY CLAY,0.468,0.126,10.40,0.490,1.03e-06
12,CLAY,0.468,0.138,11.40,0.405,1.28e-06
13,ORGANIC MATERIAL,0.439,0.066,5.39,0.478,6.95e-06
14,WATER,1.000,0.000,4.05,0.040,1.41e-04
15,BEDROCK,0.200,0.006,4.05,0.121,1.41e-05
16,OTHER,0.421,0.028,4.38,0.090,1.56e-04
