siteID,original_site,lat,lon,climate,pft_0,pft,IGBP,soil_tex_id,Soil_TEX,swc_i,Zm,flux_data_starts,flux_data_ends,nc_file_path,lai_fpar_file_path,frac_V,frac_T,frac_H,frac_B,frac_sum
AU-Dig,DigbyPlantation,-37.88269,141.61647,Te,BL,BF-te,EBF,7,SANDY CLAY LOAM,Sws,-0.3,2018-01-01 00:30:00,2021-07-07 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DigbyPlantation_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DigbyPlantation_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9875,0.4125,0.575,0.0125,0.9999999999999999
AU-Gat,GatumPasture,-37.39004,141.9609,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2015-02-09 00:30:00,2021-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GatumPasture_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/GatumPasture_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9957142857142857,0.09428571428571429,0.9014285714285714,0.004285714285714285,1.0
AU-Otw,Otway,-38.525,142.81,Te,H,G-C3,SAV,7,SANDY CLAY LOAM,Sws,-0.075,2007-08-11 00:00:00,2011-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Otway_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Otway_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.996,0.34,0.6559999999999999,0.004,1.0
AU-SiP,SilverPlains,-42.09056,147.08749,Te,H,G-C3,WSA,7,SANDY CLAY LOAM,Sws,-0.1,2019-12-05 10:00:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SilverPlains_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/SilverPlains_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.98,0.47200000000000003,0.508,0.02,1.0
AU-Eme,Emerald,-23.85872,148.47459,Ar,H,G-C4,GRA,7,SANDY CLAY LOAM,Sws,-0.15,2011-06-10 00:30:00,2013-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Emerald_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Emerald_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.7566666666666667,0.06666666666666667,0.69,0.2433333333333333,0.9999999999999999
AU-Alp,AlpinePeatland,-36.86222,147.32083,Bo,H,G-C3,ENF,7,SANDY CLAY LOAM,Sws,-0.05,2017-04-12 18:30:00,2022-06-20 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AlpinePeatland_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AlpinePeatland_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.96,0.48,0.48,0.04,1.0
AU-Rig,RiggsCreek,-36.656,145.576,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2011-01-01 00:30:00,2017-07-12 17:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RiggsCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RiggsCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9714285714285714,0.051428571428571435,0.92,0.02857142857142857,1.0
AU-YarC,YarramundiControl,-33.61347,150.73486,Te,H,G-C3,SAV,7,SANDY CLAY LOAM,Sws,-0.1,2019-10-22 15:30:00,2025-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiControl_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/YarramundiControl_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.922,0.126,0.7959999999999999,0.078,0.9999999999999999
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.1,2019-10-15 09:30:00,2024-12-29 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiIrrigated_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/YarramundiIrrigated_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.948,0.19399999999999998,0.754,0.052000000000000005,1.0
AU-Ync,Yanco,-34.9878,146.2908,Ar,H,G-C3,GRA,10,SANDY CLAY,Sws,-0.1,2012-10-24 14:00:00,2025-01-28 03:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Yanco_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Yanco_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.7883333333333333,0.05916666666666667,0.7291666666666667,0.21166666666666667,1.0
