siteID,original_site,lat,lon,climate,pft_0,pft,IGBP,soil_tex_id,Soil_TEX,swc_i,Zm,flux_data_starts,flux_data_ends,nc_file_path,lai_fpar_file_path,frac_V,frac_T,frac_H,frac_B,frac_sum,MAXSMC,DRYSMC,BB,SATPSI,SATDK
AU-Dig,DigbyPlantation,-37.88269,141.61647,Te,BL,BF-te,EBF,7,SANDY CLAY LOAM,Sws,-0.3,2018-01-01 00:30:00,2021-07-07 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DigbyPlantation_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DigbyPlantation_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9875,0.4125,0.575,0.0125,1.0,0.4447203901,0.1953350075,8.546338313,0.1351774795,1.83e-06
AU-Gat,GatumPasture,-37.39004,141.9609,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2015-02-09 00:30:00,2021-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GatumPasture_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/GatumPasture_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9957142857142856,0.0942857142857142,0.9014285714285714,0.0042857142857142,1.0,0.6086195017,0.2063127734,7.369006558,0.05277955159,1.16e-05
AU-Otw,Otway,-38.525,142.81,Te,H,G-C3,SAV,7,SANDY CLAY LOAM,Sws,-0.075,2007-08-11 00:00:00,2011-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Otway_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Otway_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.996,0.34,0.6559999999999999,0.004,1.0,0.5129196686,0.1650996338,6.733601279,0.07406222326,7.33e-06
AU-SiP,SilverPlains,-42.09056,147.08749,Te,H,G-C3,WSA,7,SANDY CLAY LOAM,Sws,-0.1,2019-12-05 10:00:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SilverPlains_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/SilverPlains_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.98,0.472,0.508,0.02,1.0,0.5658188751,0.1642406426,6.115950689,0.07926863548,1.17e-05
AU-Eme,Emerald,-23.85872,148.47459,Ar,H,G-C4,GRA,7,SANDY CLAY LOAM,Sws,-0.15,2011-06-10 00:30:00,2013-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Emerald_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Emerald_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.7566666666666667,0.0666666666666666,0.69,0.2433333333333333,1.0,0.4743448592,0.2626685445,9.708416942,0.49266818,4.27e-07
AU-Alp,AlpinePeatland,-36.86222,147.32083,Bo,H,G-C3,ENF,7,SANDY CLAY LOAM,Sws,-0.05,2017-04-12 18:30:00,2022-06-20 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AlpinePeatland_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AlpinePeatland_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.96,0.48,0.48,0.04,1.0,0.7094875916,0.2795623135,7.791624394,0.1079249732,1.04e-05
AU-Rig,RiggsCreek,-36.656,145.576,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2011-01-01 00:30:00,2017-07-12 17:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RiggsCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RiggsCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9714285714285714,0.0514285714285714,0.92,0.0285714285714285,1.0,0.5447167655,0.1725160481,6.774903616,0.06332594953,9.33e-06
AU-YarC,YarramundiControl,-33.61347,150.73486,Te,H,G-C3,SAV,7,SANDY CLAY LOAM,Sws,-0.1,2019-10-22 15:30:00,2025-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiControl_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/YarramundiControl_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.922,0.126,0.7959999999999999,0.078,1.0,0.4528193972,0.1451400258,6.095863678,0.1487214688,4.23e-06
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.1,2019-10-15 09:30:00,2024-12-29 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiIrrigated_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/YarramundiIrrigated_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.948,0.1939999999999999,0.754,0.052,1.0,0.4501929928,0.1430768259,6.287997205,0.11329752,4.62e-06
AU-Ync,Yanco,-34.9878,146.2908,Ar,H,G-C3,GRA,10,SANDY CLAY,Sws,-0.1,2012-10-24 14:00:00,2025-01-28 03:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Yanco_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Yanco_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.7883333333333333,0.0591666666666666,0.7291666666666667,0.2116666666666666,1.0,0.4325621888,0.2207808951,9.438050005,0.2678170202,7.19e-07
