doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,0.8541062801932368,0.32521739130434785,0.8648667601683031,0.33009992987377285,2003-01-01,2025-12-31
2,0.8628623188405797,0.3279347826086957,0.8655855539971951,0.33043127629733526,2003-01-01,2025-12-31
3,0.8716183574879228,0.3306521739130435,0.8662517531556804,0.33072405329593274,2003-01-01,2025-12-31
4,0.8803743961352658,0.3333695652173913,0.8670582047685836,0.33100455820476865,2003-01-01,2025-12-31
5,0.8891304347826087,0.33608695652173914,0.8680575035063114,0.33129032258064517,2003-01-01,2025-12-31
6,0.8831521739130435,0.3352173913043478,0.869249649368864,0.3315813464235624,2003-01-01,2025-12-31
7,0.8771739130434782,0.3343478260869565,0.8704768583450211,0.33191152407667135,2003-01-01,2025-12-31
8,0.8711956521739131,0.3334782608695652,0.8715638148667602,0.3322563113604488,2003-01-01,2025-12-31
9,0.8652173913043479,0.33260869565217394,0.8725806451612904,0.33262272089761574,2003-01-01,2025-12-31
10,0.8597826086956523,0.33119565217391306,0.8735273492286115,0.3330107526881721,2003-01-01,2025-12-31
11,0.8543478260869566,0.3297826086956522,0.8741000467508182,0.3333654745208042,2003-01-01,2025-12-31
12,0.8489130434782609,0.3283695652173913,0.8742286115007013,0.33366234221598884,2003-01-01,2025-12-31
13,0.8434782608695653,0.3269565217391304,0.8740478416705626,0.33394413277232354,2003-01-01,2025-12-31
14,0.8532608695652174,0.3295108695652174,0.8735577372604021,0.33421084618980834,2003-01-01,2025-12-31
15,0.8630434782608696,0.33206521739130435,0.8728108929406265,0.33448527349228613,2003-01-01,2025-12-31
16,0.8728260869565219,0.3346195652173913,0.8718423718248404,0.3347568957456756,2003-01-01,2025-12-31
17,0.8826086956521739,0.33717391304347827,0.870897615708275,0.3351729780271155,2003-01-01,2025-12-31
18,0.8864130434782609,0.33711956521739134,0.8693840579710145,0.3355014025245442,2003-01-01,2025-12-31
19,0.8902173913043478,0.33706521739130435,0.8678276453171264,0.3357713884992987,2003-01-01,2025-12-31
20,0.8940217391304348,0.33701086956521736,0.8662283777466107,0.3359829359513792,2003-01-01,2025-12-31
21,0.8978260869565219,0.33695652173913043,0.8645862552594671,0.3361360448807854,2003-01-01,2025-12-31
22,0.8967391304347826,0.33795289855072463,0.8633765778401122,0.33634642356241234,2003-01-01,2025-12-31
23,0.8956521739130435,0.33894927536231884,0.862470780738663,0.33661407199626,2003-01-01,2025-12-31
24,0.8945652173913045,0.33994565217391304,0.8618688639551193,0.3369389901823282,2003-01-01,2025-12-31
25,0.8934782608695653,0.34094202898550724,0.861570827489481,0.3373211781206171,2003-01-01,2025-12-31
26,0.8829710144927536,0.3402355072463768,0.8615591397849462,0.337778167367929,2003-01-01,2025-12-31
27,0.8724637681159421,0.3395289855072464,0.8614831697054698,0.33828366058906034,2003-01-01,2025-12-31
28,0.8619565217391305,0.3388224637681159,0.8613429172510517,0.33883765778401126,2003-01-01,2025-12-31
