doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,0.4166629505759941,0.2327179487179487,0.4264200561009818,0.23568080878915376,2003-01-01,2025-12-31
2,0.42052396878483833,0.23355183946488295,0.42671224871435254,0.23606065918653574,2003-01-01,2025-12-31
3,0.42438498699368266,0.23438573021181716,0.42706872370266485,0.23641070593735386,2003-01-01,2025-12-31
4,0.4282460052025269,0.2352196209587514,0.42747194950911643,0.23671458625525943,2003-01-01,2025-12-31
5,0.43210702341137125,0.23605351170568561,0.42797452080411413,0.23701086956521739,2003-01-01,2025-12-31
6,0.42972408026755854,0.23596711259754738,0.42857643758765784,0.23729955586722767,2003-01-01,2025-12-31
7,0.42734113712374583,0.23588071348940914,0.42908485273492286,0.23761044880785412,2003-01-01,2025-12-31
8,0.4249581939799331,0.2357943143812709,0.4294647031323048,0.23795582047685834,2003-01-01,2025-12-31
9,0.4225752508361204,0.23570791527313267,0.42968092566619914,0.23828716690042076,2003-01-01,2025-12-31
10,0.4288879598662208,0.2377954292084727,0.4297335203366059,0.23860448807854137,2003-01-01,2025-12-31
11,0.4352006688963211,0.23988294314381273,0.4298562412342216,0.2388937587657784,2003-01-01,2025-12-31
12,0.44151337792642137,0.24197045707915274,0.4301367461430575,0.23917251051893407,2003-01-01,2025-12-31
13,0.44782608695652176,0.24405797101449275,0.430636590306997,0.23949777933613836,2003-01-01,2025-12-31
14,0.44166666666666665,0.2427717391304348,0.4313557737260402,0.23986956521739128,2003-01-01,2025-12-31
15,0.43550724637681165,0.24148550724637682,0.43197872837774665,0.24027384291725104,2003-01-01,2025-12-31
16,0.42934782608695654,0.24019927536231883,0.43254051737572075,0.2407018466573165,2003-01-01,2025-12-31
17,0.4231884057971015,0.23891304347826087,0.4330724278059481,0.24124706009278238,2003-01-01,2025-12-31
18,0.42681159420289855,0.23923913043478262,0.4333220052504765,0.24177764591649586,2003-01-01,2025-12-31
19,0.43043478260869567,0.23956521739130435,0.43335937593651475,0.24227782572733483,2003-01-01,2025-12-31
20,0.4340579710144928,0.2398913043478261,0.433184539864063,0.24274759952529937,2003-01-01,2025-12-31
21,0.43768115942028984,0.24021739130434785,0.43279749703312115,0.24318696731038944,2003-01-01,2025-12-31
22,0.4353260869565218,0.24146739130434783,0.4323996655518394,0.24362561585212353,2003-01-01,2025-12-31
23,0.43297101449275366,0.2427173913043478,0.4321605171359729,0.24410328334592007,2003-01-01,2025-12-31
24,0.4306159420289855,0.24396739130434783,0.4320800517855216,0.24461996979177902,2003-01-01,2025-12-31
25,0.42826086956521736,0.2452173913043478,0.4321582695004855,0.24517567518970043,2003-01-01,2025-12-31
26,0.4331521739130435,0.24603260869565216,0.43211466537202864,0.2457002733124753,2003-01-01,2025-12-31
27,0.4380434782608696,0.24684782608695652,0.4317388607185241,0.2460447459272845,2003-01-01,2025-12-31
28,0.4429347826086957,0.24766304347826087,0.43103085553997195,0.24620909303412813,2003-01-01,2025-12-31
29,0.44782608695652176,0.2484782608695652,0.42999064983637214,0.2461933146330061,2003-01-01,2025-12-31
30,0.4429347826086957,0.24885869565217392,0.42902057035998137,0.2461062412342216,2003-01-01,2025-12-31
31,0.43804347826086953,0.2492391304347826,0.42813814866760175,0.24605364656381484,2003-01-01,2025-12-31
32,0.4331521739130435,0.24961956521739131,0.4273433847592333,0.24603553062178588,2003-01-01,2025-12-31
33,0.42826086956521736,0.25,0.42663627863487613,0.24605189340813466,2003-01-01,2025-12-31
34,0.4255434782608695,0.24989130434782608,0.42570126227208976,0.24605072463768118,2003-01-01,2025-12-31
35,0.42282608695652174,0.2497826086956522,0.4247720897615709,0.24613838242169242,2003-01-01,2025-12-31
36,0.4201086956521739,0.24967391304347827,0.4238487611033193,0.2463148667601683,2003-01-01,2025-12-31
37,0.41739130434782606,0.24956521739130436,0.4229312762973353,0.24658017765310894,2003-01-01,2025-12-31
38,0.41992753623188406,0.25068840579710144,0.42221248246844323,0.24690451145395043,2003-01-01,2025-12-31
39,0.42246376811594205,0.25181159420289856,0.4216047218326321,0.24720196353436186,2003-01-01,2025-12-31
40,0.425,0.2529347826086957,0.4211079943899018,0.24747253389434312,2003-01-01,2025-12-31
41,0.427536231884058,0.2540579710144928,0.42072230014025247,0.24771622253389433,2003-01-01,2025-12-31
42,0.4235507246376812,0.25056159420289853,0.4202138849929874,0.2479470546984572,2003-01-01,2025-12-31
43,0.41956521739130437,0.24706521739130435,0.41947755960729316,0.24817321178120616,2003-01-01,2025-12-31
44,0.41557971014492756,0.24356884057971015,0.4185133239831697,0.2483946937821412,2003-01-01,2025-12-31
45,0.41159420289855075,0.24007246376811595,0.4173211781206171,0.24861150070126228,2003-01-01,2025-12-31
46,0.4081521739130434,0.2398550724637681,0.4161816269284712,0.24884467040673217,2003-01-01,2025-12-31
47,0.40471014492753626,0.2396376811594203,0.4151764843384759,0.249028167367929,2003-01-01,2025-12-31
48,0.40126811594202894,0.23942028985507247,0.4143057503506311,0.24916199158485275,2003-01-01,2025-12-31
49,0.3978260869565218,0.23920289855072466,0.41356942496493687,0.24924614305750353,2003-01-01,2025-12-31
