doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,5.9416912713677394,0.8782492633112566,5.921573882269523,0.8772565733195898,2003-01-01,2025-12-31
2,5.933162316671685,0.8781481155927359,5.923096082727569,0.8773050874020429,2003-01-01,2025-12-31
3,5.92463336197563,0.8780469678742151,5.923086233941035,0.8772707917153312,2003-01-01,2025-12-31
4,5.916104407279575,0.8779458201556944,5.921550711021485,0.8771536862594544,2003-01-01,2025-12-31
5,5.90757545258352,0.8778446724371737,5.919770911393375,0.8770054094380849,2003-01-01,2025-12-31
6,5.908903672018589,0.877672602391601,5.917746835056702,0.8768259612512226,2003-01-01,2025-12-31
7,5.910231891453656,0.8775005323460282,5.915861340314737,0.876631507615217,2003-01-01,2025-12-31
8,5.911560110888724,0.8773284623004554,5.91482445521797,0.8764474692874313,2003-01-01,2025-12-31
9,5.912888330323793,0.8771563922548826,5.914300684472157,0.8762844847232694,2003-01-01,2025-12-31
10,5.911726802542451,0.8768022925133734,5.914290028077299,0.876142553922731,2003-01-01,2025-12-31
11,5.91056527476111,0.8764481927718643,5.914478865961709,0.8760119137566282,2003-01-01,2025-12-31
12,5.909403746979769,0.8760940930303552,5.914068538315509,0.8758625657833216,2003-01-01,2025-12-31
13,5.908242219198428,0.8757399932888461,5.913760307410787,0.8757155478709738,2003-01-01,2025-12-31
14,5.899641077890516,0.8750700722912983,5.913554173247544,0.8755708600195848,2003-01-01,2025-12-31
15,5.891039936582604,0.8744001512937506,5.913616182711173,0.8754375989016525,2003-01-01,2025-12-31
16,5.882438795274693,0.8737302302962027,5.913735957120046,0.8753066481076394,2003-01-01,2025-12-31
17,5.873837653966781,0.8730603092986549,5.914865022439294,0.8752224435992882,2003-01-01,2025-12-31
18,5.875498531039924,0.8729495523166604,5.916558077126138,0.875153428574355,2003-01-01,2025-12-31
19,5.877159408113066,0.8728387953346658,5.918143662555051,0.875062962079123,2003-01-01,2025-12-31
20,5.878820285186207,0.8727280383526711,5.919621778726035,0.8749510441135923,2003-01-01,2025-12-31
21,5.88048116225935,0.8726172813706765,5.920992425639089,0.8748176746777626,2003-01-01,2025-12-31
22,5.8940106467338085,0.873007667795516,5.921937629935145,0.874665141588636,2003-01-01,2025-12-31
23,5.907540131208267,0.8733980542203553,5.922062931586153,0.8744823415269041,2003-01-01,2025-12-31
