doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,4.97947843574442,0.815261809517564,4.970357059373539,0.8191459209911174,2003-01-01,2025-12-31
2,5.009029827092488,0.8175781253415524,4.96688288920056,0.8194775596072931,2003-01-01,2025-12-31
3,5.038581218440554,0.819894441165541,4.964451846657316,0.8199798387096773,2003-01-01,2025-12-31
4,5.06813260978862,0.8222107569895293,4.9652553763440865,0.8207334034595605,2003-01-01,2025-12-31
5,5.097684001136687,0.8245270728135179,4.968972066386161,0.8217505259467041,2003-01-01,2025-12-31
6,5.072762148337596,0.8220181378013859,4.9756019167835435,0.8230312061711079,2003-01-01,2025-12-31
7,5.0478402955385056,0.819509202789254,4.982672978027115,0.8241806919121084,2003-01-01,2025-12-31
8,5.022918442739415,0.817000267777122,4.98731884057971,0.82507889200561,2003-01-01,2025-12-31
9,4.997996589940324,0.8144913327649901,4.988543951762746,0.825708184989391,2003-01-01,2025-12-31
10,4.958461210571185,0.8155001420858198,4.986348311576222,0.8260685708634515,2003-01-01,2025-12-31
11,4.9189258312020465,0.8165089514066497,4.98115852123566,0.8263914661775811,2003-01-01,2025-12-31
12,4.879390451832907,0.8175177607274794,4.976551018328718,0.8268136170748374,2003-01-01,2025-12-31
13,4.839855072463768,0.8185265700483092,4.973676079235232,0.8273944515663639,2003-01-01,2025-12-31
14,4.871467391304348,0.8218659420289854,4.972533703955203,0.8281339696521611,2003-01-01,2025-12-31
15,4.903079710144928,0.8252053140096618,4.9742371463455735,0.8289813298175024,2003-01-01,2025-12-31
16,4.934692028985507,0.8285446859903381,4.974222357785491,0.8297610216992899,2003-01-01,2025-12-31
17,4.966304347826087,0.8318840579710145,4.970901758408977,0.8304421507985363,2003-01-01,2025-12-31
18,5.003442028985507,0.838125,4.966893783621982,0.8310357035575046,2003-01-01,2025-12-31
19,5.040579710144928,0.8443659420289855,4.959495651750829,0.8314291858200467,2003-01-01,2025-12-31
20,5.077717391304348,0.8506068840579711,4.948707362795516,0.8316225975861627,2003-01-01,2025-12-31
21,5.114855072463768,0.8568478260869565,4.934528916756043,0.831615938855853,2003-01-01,2025-12-31
22,5.07536231884058,0.8508514492753624,4.918717515056512,0.8315648628818954,2003-01-01,2025-12-31
23,5.035869565217391,0.8448550724637682,4.906304714499169,0.8316183878971086,2003-01-01,2025-12-31
24,4.996376811594203,0.8388586956521739,4.897290515084012,0.8317765139014932,2003-01-01,2025-12-31
25,4.956884057971015,0.8328623188405797,4.891674916811042,0.8320392408950489,2003-01-01,2025-12-31
26,4.930615942028986,0.8340398550724638,4.889929323763163,0.8322930932541318,2003-01-01,2025-12-31
27,4.904347826086957,0.8352173913043479,4.887250089376562,0.8323802869675219,2003-01-01,2025-12-31
28,4.878079710144928,0.8363949275362319,4.8836372136512365,0.8323008220352188,2003-01-01,2025-12-31
29,4.851811594202899,0.837572463768116,4.8790906965871885,0.8320546984572229,2003-01-01,2025-12-31
30,4.860054347826087,0.8371739130434782,4.871315451145393,0.8315667367928937,2003-01-01,2025-12-31
31,4.868297101449275,0.8367753623188406,4.863905446470312,0.8310291997818294,2003-01-01,2025-12-31
32,4.876539855072464,0.836376811594203,4.856860682561944,0.8304420874240299,2003-01-01,2025-12-31
33,4.8847826086956525,0.8359782608695652,4.85018115942029,0.8298053997194951,2003-01-01,2025-12-31
34,4.809239130434783,0.8320923913043478,4.843688639551193,0.8290255376344084,2003-01-01,2025-12-31
35,4.733695652173913,0.8282065217391306,4.835910472183264,0.8282626227208975,2003-01-01,2025-12-31
36,4.658152173913043,0.8243206521739131,4.826846657316504,0.8275166549789621,2003-01-01,2025-12-31
37,4.5826086956521745,0.8204347826086957,4.816497194950912,0.8267876344086021,2003-01-01,2025-12-31
38,4.663043478260869,0.8211684782608696,4.8073340345956055,0.8264703132304816,2003-01-01,2025-12-31
39,4.743478260869566,0.8219021739130434,4.8023638382421705,0.8265389784946238,2003-01-01,2025-12-31
40,4.823913043478261,0.8226358695652174,4.801586605890605,0.8269936302010286,2003-01-01,2025-12-31
41,4.904347826086957,0.8233695652173914,4.805002337540907,0.8278342683496961,2003-01-01,2025-12-31
42,4.835869565217392,0.8192119565217392,4.81218443197756,0.8288294763908369,2003-01-01,2025-12-31
43,4.767391304347826,0.815054347826087,4.820818723702665,0.8297899135109865,2003-01-01,2025-12-31
44,4.698913043478261,0.8108967391304348,4.830905212716222,0.830715579710145,2003-01-01,2025-12-31
45,4.630434782608695,0.8067391304347826,4.842478962131837,0.8316199158485275,2003-01-01,2025-12-31
46,4.673369565217392,0.8085416666666667,4.854584502103786,0.8325239597942965,2003-01-01,2025-12-31
47,4.716304347826087,0.8103442028985507,4.866590696587189,0.833450502571295,2003-01-01,2025-12-31
48,4.759239130434783,0.8121467391304348,4.878497545582047,0.8343995441795231,2003-01-01,2025-12-31
49,4.802173913043478,0.8139492753623189,4.890305049088359,0.8353710846189808,2003-01-01,2025-12-31
50,4.79945652173913,0.8207155797101449,4.903196587190276,0.8364372954651706,2003-01-01,2025-12-31
51,4.796739130434783,0.827481884057971,4.915249532491819,0.8374783777466105,2003-01-01,2025-12-31
52,4.794021739130435,0.8342481884057971,4.926463884992988,0.8384943314633004,2003-01-01,2025-12-31
53,4.791304347826087,0.8410144927536232,4.936839644693783,0.8394851566152407,2003-01-01,2025-12-31
54,4.881793478260869,0.8469836956521739,4.942081580177654,0.8403307620383356,2003-01-01,2025-12-31
55,4.972282608695652,0.8529528985507246,4.941093969144462,0.8410010518934082,2003-01-01,2025-12-31
56,5.062771739130435,0.8589221014492753,4.933876811594204,0.8414960261804582,2003-01-01,2025-12-31
57,5.153260869565218,0.8648913043478261,4.920430107526881,0.8418156848994857,2003-01-01,2025-12-31
58,5.172010869565218,0.8649909420289855,4.906176951846657,0.842124824684432,2003-01-01,2025-12-31
59,5.190760869565217,0.865090579710145,4.895666783543711,0.8426680107526882,2003-01-01,2025-12-31
60,5.210597826086957,0.865606884057971,4.888899602618045,0.8434452431042543,2003-01-01,2025-12-31
61,5.235326086956522,0.8651992753623188,4.885875409069658,0.8444565217391304,2003-01-01,2025-12-31
62,5.240489130434782,0.8654981884057971,4.883222300140251,0.8455247779336139,2003-01-01,2025-12-31
63,5.245652173913044,0.8657971014492754,4.878768032458424,0.8465269568556736,2003-01-01,2025-12-31
64,5.250815217391305,0.8660960144927536,4.872512606024176,0.8474630585053097,2003-01-01,2025-12-31
65,5.2088768115942035,0.8651449275362318,4.864456020837507,0.848333082882522,2003-01-01,2025-12-31
66,5.107336956521739,0.8604800724637682,4.856304681760502,0.8489976541107327,2003-01-01,2025-12-31
67,5.005797101449276,0.8558152173913044,4.849522473786148,0.8495651756495025,2003-01-01,2025-12-31
68,4.904257246376812,0.8511503623188407,4.844109396914447,0.8500356474988313,2003-01-01,2025-12-31
69,4.82554347826087,0.8473822463768117,4.840065451145395,0.850409069658719,2003-01-01,2025-12-31
70,4.71286231884058,0.8426811594202899,4.832566536432244,0.8506641120683898,2003-01-01,2025-12-31
71,4.60018115942029,0.8379800724637682,4.82178212449075,0.8507978528017097,2003-01-01,2025-12-31
72,4.4875,0.8332789855072463,4.807712215320911,0.8508102918586788,2003-01-01,2025-12-31
73,4.394021739130435,0.8287952898550724,4.790356808922726,0.8507014292392974,2003-01-01,2025-12-31
74,4.4415760869565215,0.831893115942029,4.774414362519201,0.8507377446069592,2003-01-01,2025-12-31
75,4.489130434782608,0.8349909420289856,4.758034128097242,0.850844144460028,2003-01-01,2025-12-31
76,4.536684782608695,0.8380887681159421,4.741181042543244,0.8510071879382889,2003-01-01,2025-12-31
77,4.591123188405797,0.8416576086956522,4.7236973218459894,0.8512566786883056,2003-01-01,2025-12-31
78,4.578222049689441,0.8414117494824017,4.703859029586589,0.8514523642556602,2003-01-01,2025-12-31
79,4.565320910973085,0.8411658902691512,4.68329350674351,0.8514568109852637,2003-01-01,2025-12-31
80,4.552419772256729,0.8409200310559006,4.662000753316754,0.851270018877116,2003-01-01,2025-12-31
81,4.546765010351967,0.8413172877846791,4.641500170895847,0.8509323105118625,2003-01-01,2025-12-31
82,4.586490683229814,0.8450750517598343,4.625812329840772,0.8506268906580865,2003-01-01,2025-12-31
83,4.626216356107661,0.8488328157349897,4.616418646701317,0.8506520879740396,2003-01-01,2025-12-31
84,4.665942028985508,0.852590579710145,4.613319121477483,0.8510079024597216,2003-01-01,2025-12-31
85,4.649327122153209,0.8548900103519669,4.615777428783575,0.851665407046409,2003-01-01,2025-12-31
86,4.637965838509317,0.8570988612836439,4.624375031920201,0.8526341606067391,2003-01-01,2025-12-31
87,4.626604554865424,0.8593077122153209,4.636055596151504,0.8537300817942886,2003-01-01,2025-12-31
88,4.615243271221532,0.861516563146998,4.6508191214774826,0.8549531706090571,2003-01-01,2025-12-31
89,4.677795031055901,0.8661167184265011,4.668046159557792,0.8562964144283239,2003-01-01,2025-12-31
90,4.682973602484473,0.8683889751552796,4.683292460743063,0.8575164168051512,2003-01-01,2025-12-31
91,4.688152173913044,0.8706612318840579,4.698198477848363,0.8585813704864835,2003-01-01,2025-12-31
92,4.693330745341615,0.8729334886128364,4.71276421087369,0.8594912754723207,2003-01-01,2025-12-31
93,4.625502070393376,0.8715644409937887,4.726767593432884,0.8602309377467677,2003-01-01,2025-12-31
94,4.608120965777616,0.8659349500669834,4.741778952113804,0.8609859413611167,2003-01-01,2025-12-31
95,4.590739861161857,0.8603054591401779,4.75644952581313,0.8617603770119547,2003-01-01,2025-12-31
96,4.573358756546097,0.8546759682133723,4.770779314530861,0.8625542446992822,2003-01-01,2025-12-31
97,4.6210138838143955,0.8510120569967118,4.784534564176301,0.8633467987475495,2003-01-01,2025-12-31
98,4.714592924126173,0.8565963341858484,4.79598841640443,0.8639787941824696,2003-01-01,2025-12-31
99,4.808171964437949,0.8621806113749848,4.803539655693975,0.8644093240381707,2003-01-01,2025-12-31
100,4.901751004749726,0.8677648885641213,4.807188282044936,0.8646383883146527,2003-01-01,2025-12-31
101,4.979388016075996,0.8727125197905249,4.808751733512479,0.8647130300226683,2003-01-01,2025-12-31
102,4.9622786505906715,0.8719536292777981,4.808568953528115,0.8646424323586377,2003-01-01,2025-12-31
103,4.945169285105346,0.8711947387650713,4.8096483572391096,0.8645677827933417,2003-01-01,2025-12-31
104,4.928059919620022,0.8704358482523444,4.811989944645461,0.8644890813267804,2003-01-01,2025-12-31
105,4.914211423699915,0.8697131896236756,4.813209424022064,0.8643291891090237,2003-01-01,2025-12-31
106,4.951216965046889,0.8680045061502861,4.815034822484395,0.8641070986599408,2003-01-01,2025-12-31
107,4.988222506393862,0.8662958226768969,4.817442764623382,0.8638301147948662,2003-01-01,2025-12-31
108,5.025228047740836,0.8645871392035075,4.820433250439026,0.8634982375137994,2003-01-01,2025-12-31
109,5.043574168797954,0.8648168615272196,4.826361352395097,0.8632289282473158,2003-01-01,2025-12-31
110,5.0201086956521745,0.8651733954451346,4.834236709410273,0.8632607192947306,2003-01-01,2025-12-31
111,4.9966432225063935,0.8655299293630496,4.844349176557019,0.8634969533395406,2003-01-01,2025-12-31
112,4.973177749360614,0.8658864632809645,4.856698753835336,0.863937630381746,2003-01-01,2025-12-31
113,4.94156010230179,0.8646669102423579,4.869187498281221,0.8645193446242452,2003-01-01,2025-12-31
114,4.860304774083547,0.8621792412617222,4.8809651293897645,0.8649450196628441,2003-01-01,2025-12-31
115,4.779049445865303,0.8596915722810863,4.891995415276909,0.865271107110446,2003-01-01,2025-12-31
116,4.697794117647059,0.8572039033004506,4.9022783559426575,0.8654976069670506,2003-01-01,2025-12-31
117,4.632299658994032,0.854910333698697,4.912328210386539,0.8656450561991977,2003-01-01,2025-12-31
118,4.6600660699062235,0.856993575691146,4.922764426948899,0.8657976062795384,2003-01-01,2025-12-31
119,4.687832480818415,0.8590768176835952,4.933043527368872,0.8659441538887644,2003-01-01,2025-12-31
120,4.715598891730606,0.8611600596760443,4.943165511646454,0.8660846990268758,2003-01-01,2025-12-31
121,4.739560954816709,0.8615041712337109,4.953025190440832,0.8662180729234189,2003-01-01,2025-12-31
122,4.762798380221654,0.8620747320667397,4.962492746748066,0.8664383198580974,2003-01-01,2025-12-31
123,4.786035805626598,0.8626452928997687,4.970964510628935,0.8667389531548944,2003-01-01,2025-12-31
124,4.809273231031543,0.8632158537327975,4.978440482083435,0.8671199728138099,2003-01-01,2025-12-31
125,4.852257033248082,0.8669204725368409,4.985522577895112,0.8675188496155826,2003-01-01,2025-12-31
126,4.904226342710998,0.86762871452929,4.994015379644143,0.8679314928636251,2003-01-01,2025-12-31
127,4.956195652173913,0.8683369565217391,5.003281907433379,0.8683155346289989,2003-01-01,2025-12-31
128,5.00816496163683,0.8690451985141883,5.013322161262821,0.8686709749117039,2003-01-01,2025-12-31
129,5.079699488491049,0.8697922603824139,5.0243991144845035,0.8690486552264665,2003-01-01,2025-12-31
130,5.150110826939471,0.8722893222506393,5.036991962984352,0.8694797149575118,2003-01-01,2025-12-31
131,5.220522165387894,0.8747863841188649,5.0517669059208545,0.8699816856616419,2003-01-01,2025-12-31
132,5.290933503836317,0.8772834459870905,5.0687239432940085,0.8705545673388569,2003-01-01,2025-12-31
133,5.285801364023871,0.8766826817683595,5.087354659956549,0.8711920987188704,2003-01-01,2025-12-31
134,5.263821398124468,0.8757377146510779,5.104832968951958,0.8717459628311351,2003-01-01,2025-12-31
135,5.241841432225064,0.8747927475337961,5.121678973132032,0.8722833639767267,2003-01-01,2025-12-31
136,5.219861466325661,0.8738477804165143,5.13789267249677,0.8728043021556449,2003-01-01,2025-12-31
137,5.244711210571185,0.8748321611253197,5.1535967879437905,0.8733648783496568,2003-01-01,2025-12-31
138,5.250847186700768,0.8756154548776032,5.169209154910212,0.8739253543633442,2003-01-01,2025-12-31
139,5.25698316283035,0.8763987486298868,5.183908712152464,0.874363593684318,2003-01-01,2025-12-31
140,5.263119138959932,0.8771820423821702,5.197695459670546,0.8746795963125783,2003-01-01,2025-12-31
