doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,1.220473550457598,0.432597577495816,1.2309070355855176,0.4328224936381046,2003-01-01,2025-12-31
2,1.2257211170662499,0.43217443773005604,1.237360604579134,0.4345518799004234,2003-01-01,2025-12-31
3,1.2309686836749016,0.43175129796429595,1.2439423165514032,0.43629551267048566,2003-01-01,2025-12-31
4,1.2362162502835532,0.4313281581985358,1.2509609729589821,0.4381248011866749,2003-01-01,2025-12-31
5,1.2414638168922052,0.43090501843277573,1.2582690560176064,0.440023856488502,2003-01-01,2025-12-31
6,1.2517594620208023,0.4354912443368672,1.2658665657272765,0.4419926785759668,2003-01-01,2025-12-31
7,1.2620551071494,0.4400774702409588,1.2737912059971475,0.4439662148186058,2003-01-01,2025-12-31
8,1.272350752277997,0.44466369614505036,1.2820429768272192,0.4459444652164192,2003-01-01,2025-12-31
9,1.2826463974065943,0.4492499220491418,1.2906551277217724,0.4479302979589679,2003-01-01,2025-12-31
10,1.2814772392225624,0.45000268522031406,1.2996276586808064,0.449923713046252,2003-01-01,2025-12-31
11,1.28030808103853,0.4507554483914864,1.3085766219601649,0.4518714516203881,2003-01-01,2025-12-31
12,1.2791389228544983,0.45150821156265863,1.3175412548536432,0.4537841160990612,2003-01-01,2025-12-31
13,1.277969764670466,0.45226097473383087,1.3265516114586162,0.45564779254830146,2003-01-01,2025-12-31
14,1.2961199646644879,0.4540696385261212,1.3356076917750848,0.4574624809681087,2003-01-01,2025-12-31
15,1.3142701646585095,0.4558783023184115,1.3448655266585885,0.4592372977680202,2003-01-01,2025-12-31
16,1.3324203646525312,0.4576869661107017,1.3543134284045923,0.4609704897923556,2003-01-01,2025-12-31
17,1.3505705646465531,0.45949562990299203,1.364129050122026,0.4628139387615451,2003-01-01,2025-12-31
18,1.3659129657763072,0.46370504048295913,1.3740800986832598,0.46469762975985146,2003-01-01,2025-12-31
19,1.3812553669060612,0.4679144510629261,1.3841055893157026,0.46667495890027816,2003-01-01,2025-12-31
20,1.3965977680358155,0.4721238616428932,1.3942055220193548,0.4687459261828251,2003-01-01,2025-12-31
21,1.4119401691655697,0.4763332722228603,1.4043798967942163,0.4709105316074924,2003-01-01,2025-12-31
22,1.4284513914791377,0.4785260512584597,1.4144658723977082,0.47300718273331693,2003-01-01,2025-12-31
23,1.4449626137927054,0.48071883029405915,1.4246309725948298,0.4749932194387468,2003-01-01,2025-12-31
24,1.4614738361062733,0.48291160932965854,1.4348751973855811,0.47686864172378174,2003-01-01,2025-12-31
25,1.4779850584198413,0.48510438836525793,1.4451985467699622,0.4786334495884219,2003-01-01,2025-12-31
26,1.4825939006645528,0.48564614280646884,1.4559708531128963,0.48041130312082597,2003-01-01,2025-12-31
27,1.4872027429092645,0.48618789724767986,1.4671829332179633,0.4822746452182089,2003-01-01,2025-12-31
28,1.4918115851539766,0.4867296516888909,1.4788347870851632,0.48422347588057074,2003-01-01,2025-12-31
29,1.4964204273986885,0.4872714061301018,1.4909264147144963,0.4862577951079114,2003-01-01,2025-12-31
30,1.5058662261651392,0.4880957692669649,1.502834611003444,0.4883435415898723,2003-01-01,2025-12-31
31,1.5153120249315903,0.48892013240382803,1.5143823907119085,0.4904604288107251,2003-01-01,2025-12-31
32,1.5247578236980412,0.48974449554069116,1.525569753839889,0.4926084567704699,2003-01-01,2025-12-31
33,1.534203622464492,0.49056885867755434,1.5363967003873857,0.4947876254691066,2003-01-01,2025-12-31
34,1.5417588932806325,0.4930485013175231,1.5469538045113105,0.4969204914618714,2003-01-01,2025-12-31
35,1.549314164096773,0.4955281439574918,1.5571054888390594,0.4989719331966372,2003-01-01,2025-12-31
36,1.5568694349129133,0.49800778659746053,1.5668517533706325,0.500941950673404,2003-01-01,2025-12-31
37,1.5644247057290537,0.5004874292374292,1.5761925981060292,0.5028305438921717,2003-01-01,2025-12-31
38,1.57717321326017,0.501644608109282,1.585090319136095,0.5047027654834041,2003-01-01,2025-12-31
39,1.589921720791286,0.5028017869811348,1.5936866716201163,0.5065735924056262,2003-01-01,2025-12-31
40,1.6026702283224024,0.5039589658529876,1.601981655558093,0.508443024658838,2003-01-01,2025-12-31
41,1.6154187358535184,0.5051161447248403,1.6099752709500255,0.5103110622430397,2003-01-01,2025-12-31
42,1.6278825642956078,0.5085190534103577,1.61805146554007,0.5122309640161147,2003-01-01,2025-12-31
43,1.6403463927376973,0.5119219620958751,1.6257748723343042,0.5141421626234914,2003-01-01,2025-12-31
44,1.6528102211797866,0.5153248707813926,1.6331454913327283,0.51604465806517,2003-01-01,2025-12-31
45,1.6652740496218759,0.5187277794669098,1.640099737803104,0.517930693371612,2003-01-01,2025-12-31
46,1.6722513356209008,0.5215018061648496,1.6466854180765471,0.5198246220527952,2003-01-01,2025-12-31
47,1.679228621619926,0.5242758328627893,1.653083691573348,0.5217630655829288,2003-01-01,2025-12-31
48,1.6862059076189513,0.5270498595607291,1.6592945582935064,0.5237460239620128,2003-01-01,2025-12-31
49,1.6931831936179762,0.5298238862586689,1.6653180182370226,0.525773497190047,2003-01-01,2025-12-31
50,1.6959575810662766,0.5315091448406666,1.671297135737879,0.5278088238218848,2003-01-01,2025-12-31
51,1.6987319685145774,0.5331944034226642,1.677099839734833,0.5297576840819302,2003-01-01,2025-12-31
52,1.7015063559628778,0.534879662004662,1.6827261302278833,0.5316200779701832,2003-01-01,2025-12-31
53,1.7042807434111782,0.5365649205866597,1.688176007217031,0.5333960054866436,2003-01-01,2025-12-31
54,1.7114495407973669,0.5387144648829432,1.6932819469372764,0.5351246204415032,2003-01-01,2025-12-31
55,1.7186183381835556,0.5408640091792265,1.6985227278565285,0.5369008854341077,2003-01-01,2025-12-31
56,1.7257871355697443,0.5430135534755101,1.7038983499747873,0.5387248004644569,2003-01-01,2025-12-31
57,1.732955932955933,0.5451630977717934,1.7094088132920529,0.5405963655325506,2003-01-01,2025-12-31
58,1.7266283535305273,0.5454350540763585,1.7149621574078093,0.5424232236907551,2003-01-01,2025-12-31
59,1.720300774105122,0.5457070103809234,1.720193837252042,0.5441450162935084,2003-01-01,2025-12-31
60,1.712002067980329,0.545738500629805,1.7251038528247504,0.5457617433408105,2003-01-01,2025-12-31
61,1.7100223146418798,0.5468075583836454,1.7296922041259348,0.5472734048326615,2003-01-01,2025-12-31
62,1.7136585033324165,0.5490118818379688,1.7340306870548805,0.5486932746620684,2003-01-01,2025-12-31
63,1.7172946920229528,0.5512162052922922,1.737638936955206,0.5499645505849923,2003-01-01,2025-12-31
64,1.7209308807134895,0.5534205287466157,1.7405169538269116,0.5510872326014331,2003-01-01,2025-12-31
65,1.727111535807188,0.5561436269044965,1.742664737669997,0.5520613207113908,2003-01-01,2025-12-31
66,1.7291979880023358,0.555942812018899,1.7440901359432215,0.5528848697468964,2003-01-01,2025-12-31
67,1.7312844401974836,0.5557419971333015,1.7449743080668747,0.5535952803624613,2003-01-01,2025-12-31
68,1.7333708923926314,0.555541182247704,1.7453172540409567,0.5541925525580855,2003-01-01,2025-12-31
69,1.7354573445877792,0.5552316717099326,1.7451189738654675,0.5546766863337692,2003-01-01,2025-12-31
70,1.752385929288103,0.5578660017518713,1.7444480910627476,0.5550532416975263,2003-01-01,2025-12-31
71,1.7693145139884272,0.5605003317938101,1.7431602624817912,0.5553048039696006,2003-01-01,2025-12-31
72,1.786243098688751,0.5631346618357488,1.741255488122599,0.5554313731499916,2003-01-01,2025-12-31
73,1.8000362318840581,0.5651516563146998,1.7387337679851707,0.5554329492386996,2003-01-01,2025-12-31
74,1.8025284679089029,0.5652975327812285,1.7358200903818015,0.5553718527459762,2003-01-01,2025-12-31
75,1.8050207039337476,0.565443409247757,1.732398747037597,0.5552228382300263,2003-01-01,2025-12-31
76,1.807512939958592,0.5655892857142857,1.7285333226847954,0.5549936626603879,2003-01-01,2025-12-31
77,1.8067443064182196,0.5655177708764666,1.7240199801367402,0.5546508561175462,2003-01-01,2025-12-31
78,1.7910843685300206,0.5636853864734299,1.7190106595523846,0.5541981197079374,2003-01-01,2025-12-31
79,1.7754244306418219,0.5618530020703933,1.7140120229233136,0.5537471878869145,2003-01-01,2025-12-31
80,1.7597644927536233,0.5600206176673569,1.7090240702495263,0.5532980606544773,2003-01-01,2025-12-31
81,1.740144927536232,0.5570391649413389,1.7039647219696308,0.5528340033427691,2003-01-01,2025-12-31
82,1.7261413043478262,0.555217132505176,1.6982530991682465,0.5523768719592703,2003-01-01,2025-12-31
83,1.7121376811594204,0.553395100069013,1.6923169718313478,0.5519421721919969,2003-01-01,2025-12-31
84,1.6981340579710145,0.5515730676328502,1.6861563399589343,0.551529904040949,2003-01-01,2025-12-31
85,1.6906521739130438,0.5503876811594203,1.6797712035510068,0.5511435738174869,2003-01-01,2025-12-31
86,1.678695652173913,0.5486624396135266,1.6732613255141302,0.5507355541256312,2003-01-01,2025-12-31
87,1.6667391304347827,0.5469371980676329,1.665563124735635,0.5502313358489725,2003-01-01,2025-12-31
88,1.6547826086956523,0.5452119565217391,1.656676601215521,0.5496309189875109,2003-01-01,2025-12-31
