doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,2.474164391687792,0.6507593342101349,2.4827159930124956,0.654331825718672,2003-01-01,2025-12-31
2,2.4881775925509855,0.6523529377689674,2.496531808860221,0.6558068258941614,2003-01-01,2025-12-31
3,2.5021907934141785,0.6539465413278,2.5098128576076526,0.6571401132192878,2003-01-01,2025-12-31
4,2.516203994277372,0.6555401448866326,2.52255913925479,0.6583316876940508,2003-01-01,2025-12-31
5,2.530217195140565,0.6571337484454652,2.5347897703370004,0.6593931116765891,2003-01-01,2025-12-31
6,2.5542622342812806,0.6598716184778586,2.546504750854285,0.6603243851669026,2003-01-01,2025-12-31
7,2.5783072734219967,0.662609488510252,2.557814482231911,0.6611408127402537,2003-01-01,2025-12-31
8,2.6023523125627124,0.6653473585426454,2.5687189644698787,0.6618423943966426,2003-01-01,2025-12-31
9,2.626397351703428,0.6680852285750388,2.5795652411655823,0.662505237850676,2003-01-01,2025-12-31
10,2.63600177331507,0.6688259741001878,2.5903533123190217,0.6631293431023544,2003-01-01,2025-12-31
11,2.645606194926713,0.6695667196253368,2.601097787560865,0.6637263978562122,2003-01-01,2025-12-31
12,2.6552106165383553,0.6703074651504858,2.6117986668911133,0.6642964021122495,2003-01-01,2025-12-31
13,2.6648150381499973,0.6710482106756348,2.6224571190802197,0.6648480047718222,2003-01-01,2025-12-31
14,2.6693386025068695,0.6710994312721283,2.6330731441281836,0.6653812058349301,2003-01-01,2025-12-31
15,2.6738621668637417,0.671150651868622,2.6439987946486294,0.6659739496554644,2003-01-01,2025-12-31
16,2.678385731220614,0.6712018724651155,2.6552691337551604,0.6666288659669455,2003-01-01,2025-12-31
17,2.682909295577486,0.6712530930616092,2.6659596640190726,0.6674831684206121,2003-01-01,2025-12-31
18,2.686182859934358,0.6706521397450593,2.676780818065245,0.6683716153506968,2003-01-01,2025-12-31
19,2.68945642429123,0.6700511864285094,2.685708793668979,0.6689869596322288,2003-01-01,2025-12-31
20,2.6927299886481024,0.6694502331119595,2.692743590830277,0.6693292012652079,2003-01-01,2025-12-31
21,2.6960035530049744,0.6688492797954096,2.6978852095491375,0.6693983402496345,2003-01-01,2025-12-31
22,2.7026995615451606,0.6687227683119973,2.7008100421391883,0.6691574647637806,2003-01-01,2025-12-31
23,2.7093955700853463,0.6685962568285849,2.703580312395715,0.6689339404809526,2003-01-01,2025-12-31
