doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,1.3045410628019325,0.4713816425120773,1.2246318373071527,0.46120266479663397,2003-01-01,2025-12-31
2,1.2968840579710146,0.4719057971014493,1.2228786816269284,0.460617110799439,2003-01-01,2025-12-31
3,1.2892270531400967,0.4724299516908213,1.2207223001402523,0.46008239831697056,2003-01-01,2025-12-31
4,1.2815700483091788,0.47295410628019324,1.2186886395511922,0.4597247545582048,2003-01-01,2025-12-31
5,1.2739130434782608,0.47347826086956524,1.2158485273492285,0.45933380084151476,2003-01-01,2025-12-31
6,1.2744565217391306,0.4723913043478261,1.212201963534362,0.45890953716690047,2003-01-01,2025-12-31
7,1.2750000000000001,0.47130434782608693,1.2071353436185135,0.4580750350631137,2003-01-01,2025-12-31
8,1.2755434782608697,0.4702173913043478,1.2008239831697056,0.4569004207573633,2003-01-01,2025-12-31
9,1.2760869565217392,0.46913043478260874,1.1934782608695653,0.4553856942496494,2003-01-01,2025-12-31
10,1.2255434782608696,0.45913043478260873,1.1850981767180926,0.45353085553997197,2003-01-01,2025-12-31
11,1.175,0.4491304347826087,1.176788218793829,0.4516713417484806,2003-01-01,2025-12-31
12,1.1244565217391305,0.43913043478260866,1.1685483870967746,0.4498492286115007,2003-01-01,2025-12-31
13,1.0739130434782609,0.42913043478260876,1.161025401277856,0.44828112825307775,2003-01-01,2025-12-31
14,1.076086956521739,0.4282065217391305,1.1542192613370734,0.4469670406732118,2003-01-01,2025-12-31
15,1.0782608695652174,0.4272826086956522,1.148322814399252,0.44596306685366993,2003-01-01,2025-12-31
16,1.0804347826086957,0.42635869565217394,1.1427399875331152,0.4450553218014649,2003-01-01,2025-12-31
17,1.082608695652174,0.42543478260869566,1.137667134174848,0.4443889668069192,2003-01-01,2025-12-31
18,1.0836956521739132,0.4304891304347826,1.133560074801309,0.44388335670874246,2003-01-01,2025-12-31
19,1.0847826086956522,0.4355434782608696,1.1283851488234378,0.4431037088982391,2003-01-01,2025-12-31
20,1.0858695652173913,0.4405978260869566,1.122142356241234,0.4420500233754091,2003-01-01,2025-12-31
21,1.0869565217391304,0.44565217391304346,1.1148316970546983,0.4407223001402525,2003-01-01,2025-12-31
22,1.0690217391304349,0.4390217391304348,1.1061886395511922,0.4391725105189341,2003-01-01,2025-12-31
23,1.0510869565217391,0.4323913043478261,1.0977208976157085,0.4377173913043479,2003-01-01,2025-12-31
24,1.0331521739130434,0.4257608695652174,1.089428471248247,0.43635694249649376,2003-01-01,2025-12-31
25,1.0152173913043478,0.4191304347826087,1.081311360448808,0.43509116409537174,2003-01-01,2025-12-31
26,1.0315217391304348,0.42289855072463767,1.0750175315568025,0.43420757363253865,2003-01-01,2025-12-31
27,1.047826086956522,0.42666666666666664,1.0717858812529222,0.43449509116409546,2003-01-01,2025-12-31
28,1.0641304347826088,0.43043478260869567,1.071616409537167,0.4359537166900422,2003-01-01,2025-12-31
29,1.0804347826086957,0.43420289855072464,1.074509116409537,0.43858345021037876,2003-01-01,2025-12-31
30,1.1027173913043478,0.43971014492753624,1.078763440860215,0.44209151472650776,2003-01-01,2025-12-31
31,1.125,0.44521739130434784,1.0821353436185135,0.4455101683029454,2003-01-01,2025-12-31
32,1.1472826086956522,0.45072463768115945,1.0846248246844319,0.4488394109396915,2003-01-01,2025-12-31
33,1.1695652173913043,0.45623188405797105,1.0862318840579708,0.4520792426367462,2003-01-01,2025-12-31
34,1.128804347826087,0.44826086956521743,1.0869915848527347,0.4550368162692847,2003-01-01,2025-12-31
35,1.0880434782608694,0.44028985507246376,1.088586956521739,0.45806802244039274,2003-01-01,2025-12-31
36,1.0472826086956524,0.43231884057971015,1.0910179990649835,0.46117286115007017,2003-01-01,2025-12-31
37,1.0065217391304349,0.42434782608695654,1.0942847124824684,0.464351332398317,2003-01-01,2025-12-31
38,1.0125,0.42619565217391303,1.099000701262272,0.4679803646563815,2003-01-01,2025-12-31
39,1.0184782608695653,0.4280434782608696,1.1039796633941095,0.4717934782608696,2003-01-01,2025-12-31
40,1.0244565217391304,0.42989130434782613,1.1092215988779803,0.47579067321178126,2003-01-01,2025-12-31
41,1.0304347826086957,0.43173913043478257,1.114726507713885,0.4799719495091164,2003-01-01,2025-12-31
42,1.07481884057971,0.45804347826086955,1.119389901823282,0.4840018700327256,2003-01-01,2025-12-31
43,1.1192028985507247,0.48434782608695653,1.1233169705469845,0.48787692847124825,2003-01-01,2025-12-31
44,1.1635869565217392,0.5106521739130434,1.1265077138849928,0.49159712482468443,2003-01-01,2025-12-31
45,1.2079710144927538,0.5369565217391304,1.1289446002805048,0.4951712248714353,2003-01-01,2025-12-31
46,1.1827898550724638,0.5332608695652175,1.1304873772791024,0.49850981767180924,2003-01-01,2025-12-31
47,1.1576086956521738,0.5295652173913044,1.1306977559607294,0.5015953716690041,2003-01-01,2025-12-31
48,1.132427536231884,0.5258695652173914,1.1295757363253858,0.5044278868630201,2003-01-01,2025-12-31
