doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,0.2756521739130435,0.152,0.2796283309957925,0.15523433847592327,2003-01-01,2025-12-31
2,0.276304347826087,0.15345652173913044,0.279523141654979,0.15510694249649362,2003-01-01,2025-12-31
3,0.27695652173913043,0.15491304347826088,0.2792017297802712,0.1549526647966339,2003-01-01,2025-12-31
4,0.2776086956521739,0.15636956521739132,0.278734221598878,0.15478553062178585,2003-01-01,2025-12-31
5,0.2782608695652174,0.15782608695652173,0.2783309957924264,0.15463008415147264,2003-01-01,2025-12-31
6,0.27717391304347827,0.1572826086956522,0.2779920523609164,0.15448632538569423,2003-01-01,2025-12-31
7,0.2760869565217391,0.1567391304347826,0.2778225806451614,0.15435659186535763,2003-01-01,2025-12-31
8,0.275,0.15619565217391304,0.27782258064516135,0.15423913043478263,2003-01-01,2025-12-31
9,0.27391304347826084,0.15565217391304348,0.2777349228611501,0.15415322580645166,2003-01-01,2025-12-31
10,0.2717391304347826,0.15492753623188407,0.2775596072931277,0.1540988779803647,2003-01-01,2025-12-31
11,0.26956521739130435,0.15420289855072464,0.27717391304347827,0.15409537166900422,2003-01-01,2025-12-31
12,0.2673913043478261,0.15347826086956523,0.27648433847592335,0.154163744740533,2003-01-01,2025-12-31
13,0.2652173913043478,0.15275362318840582,0.27587657784011227,0.15427945301542778,2003-01-01,2025-12-31
14,0.26902173913043476,0.15306159420289855,0.27535063113604497,0.15444249649368866,2003-01-01,2025-12-31
15,0.2728260869565218,0.15336956521739128,0.27492402992052367,0.15461255259467038,2003-01-01,2025-12-31
16,0.2766304347826087,0.15367753623188407,0.2747019635343619,0.1547282608695652,2003-01-01,2025-12-31
17,0.28043478260869564,0.1539855072463768,0.27441795231416555,0.15482328190743336,2003-01-01,2025-12-31
18,0.27880434782608693,0.15396739130434783,0.2740603085553998,0.154852033660589,2003-01-01,2025-12-31
19,0.27717391304347827,0.15394927536231884,0.273874474053296,0.15487237026647963,2003-01-01,2025-12-31
20,0.27554347826086956,0.15393115942028987,0.2738604488078542,0.15488429172510515,2003-01-01,2025-12-31
21,0.27391304347826084,0.15391304347826087,0.2740182328190744,0.1548877980364656,2003-01-01,2025-12-31
22,0.27554347826086956,0.15396739130434783,0.27440392706872374,0.15494740532959322,2003-01-01,2025-12-31
23,0.27717391304347827,0.1540217391304348,0.2748071528751753,0.1550718793828892,2003-01-01,2025-12-31
24,0.27880434782608693,0.15407608695652175,0.2752279102384292,0.15526122019635344,2003-01-01,2025-12-31
25,0.28043478260869564,0.15413043478260868,0.2756661991584853,0.15551542776998598,2003-01-01,2025-12-31
26,0.2782608695652174,0.15478260869565216,0.2761570827489481,0.15584034595605423,2003-01-01,2025-12-31
27,0.2760869565217391,0.15543478260869567,0.2767356241234221,0.15621844319775594,2003-01-01,2025-12-31
28,0.27391304347826084,0.15608695652173912,0.2774018232819074,0.15664971949509116,2003-01-01,2025-12-31
29,0.2717391304347826,0.1567391304347826,0.27815568022440385,0.15713417484805983,2003-01-01,2025-12-31
30,0.27010869565217394,0.15614130434782608,0.2788043478260869,0.15763849929873772,2003-01-01,2025-12-31
31,0.2684782608695652,0.15554347826086956,0.2793653576437587,0.15809782608695652,2003-01-01,2025-12-31
32,0.2668478260869565,0.15494565217391304,0.27983870967741936,0.15851215521271622,2003-01-01,2025-12-31
33,0.2652173913043478,0.15434782608695652,0.2802244039270687,0.15888148667601684,2003-01-01,2025-12-31
34,0.27119565217391306,0.15554347826086956,0.2806977559607293,0.15921633941093968,2003-01-01,2025-12-31
35,0.27717391304347827,0.1567391304347826,0.28125292192613366,0.159640603085554,2003-01-01,2025-12-31
36,0.2831521739130435,0.15793478260869567,0.28188990182328183,0.16015427769985977,2003-01-01,2025-12-31
37,0.2891304347826087,0.15913043478260872,0.28260869565217384,0.16075736325385695,2003-01-01,2025-12-31
38,0.28858695652173916,0.16059782608695652,0.2833041140719962,0.16144752220663863,2003-01-01,2025-12-31
39,0.28804347826086957,0.16206521739130436,0.28393525011687704,0.1621686535764376,2003-01-01,2025-12-31
40,0.2875,0.16353260869565217,0.28450210378681623,0.16292075736325387,2003-01-01,2025-12-31
41,0.28695652173913044,0.165,0.28500467508181393,0.16370383356708743,2003-01-01,2025-12-31
42,0.2875,0.16592391304347825,0.28556568489948575,0.1644985974754558,2003-01-01,2025-12-31
43,0.28804347826086957,0.16684782608695653,0.2862201963534362,0.16527173913043477,2003-01-01,2025-12-31
44,0.28858695652173916,0.16777173913043478,0.2869682094436653,0.1660232585320243,2003-01-01,2025-12-31
45,0.2891304347826087,0.16869565217391305,0.2877863487611033,0.16674029920523606,2003-01-01,2025-12-31
46,0.2902173913043478,0.1676086956521739,0.2886512388966807,0.1674888966806919,2003-01-01,2025-12-31
47,0.29130434782608694,0.16652173913043478,0.2895628798503974,0.16828482935951378,2003-01-01,2025-12-31
48,0.29239130434782606,0.16543478260869565,0.2905212716222534,0.16912809724170172,2003-01-01,2025-12-31
49,0.29347826086956524,0.16434782608695653,0.29152641421224873,0.1700187003272557,2003-01-01,2025-12-31
50,0.29438405797101447,0.16710144927536233,0.29236792893875635,0.17088826554464703,2003-01-01,2025-12-31
51,0.2952898550724638,0.16985507246376813,0.29296400187003274,0.1716473819541842,2003-01-01,2025-12-31
52,0.296195652173913,0.17260869565217393,0.2933146330060776,0.17229604955586722,2003-01-01,2025-12-31
53,0.2971014492753623,0.1753623188405797,0.29341982234689107,0.17283426834969612,2003-01-01,2025-12-31
54,0.2967391304347826,0.1763768115942029,0.2934461196820944,0.17325765544647032,2003-01-01,2025-12-31
55,0.29637681159420287,0.1773913043478261,0.2935337774661056,0.17372224170172978,2003-01-01,2025-12-31
56,0.2960144927536232,0.17840579710144927,0.2936827956989247,0.17422802711547453,2003-01-01,2025-12-31
57,0.2956521739130435,0.17942028985507247,0.2938931743805517,0.17477501168770454,2003-01-01,2025-12-31
58,0.29637681159420287,0.17940217391304347,0.2942175081813932,0.17536670172978028,2003-01-01,2025-12-31
59,0.2971014492753623,0.1793840579710145,0.29452138849929876,0.17592186769518467,2003-01-01,2025-12-31
60,0.2971014492753623,0.17896739130434783,0.2948048153342684,0.17644050958391774,2003-01-01,2025-12-31
61,0.29692028985507246,0.1793478260869565,0.295067788686302,0.17692262739597944,2003-01-01,2025-12-31
62,0.2967391304347826,0.18021739130434786,0.2953278401122019,0.17747341047218326,2003-01-01,2025-12-31
63,0.29655797101449277,0.18108695652173915,0.29551484338475925,0.17806831463300604,2003-01-01,2025-12-31
64,0.29637681159420287,0.1819565217391304,0.2956287985039738,0.17870733987844784,2003-01-01,2025-12-31
65,0.2972826086956522,0.1825,0.2956697054698457,0.17939048620850861,2003-01-01,2025-12-31
66,0.2956521739130435,0.1802717391304348,0.29555575035063114,0.17996581346423562,2003-01-01,2025-12-31
67,0.2940217391304348,0.17804347826086955,0.29548328658251516,0.18046978728377747,2003-01-01,2025-12-31
68,0.2923913043478261,0.17581521739130435,0.2954523141654979,0.1809024076671342,2003-01-01,2025-12-31
69,0.28940217391304346,0.17372282608695652,0.29546283309957916,0.18126367461430576,2003-01-01,2025-12-31
70,0.2907608695652174,0.17646739130434783,0.29554698457223,0.1816421224871435,2003-01-01,2025-12-31
71,0.2921195652173913,0.17921195652173913,0.29587774661056565,0.18207655446470314,2003-01-01,2025-12-31
72,0.29347826086956524,0.18195652173913046,0.2964551192145863,0.1825669705469846,2003-01-01,2025-12-31
73,0.297554347826087,0.1842663043478261,0.2972791023842917,0.18311337073398787,2003-01-01,2025-12-31
74,0.29746376811594205,0.18405797101449275,0.29839644693782147,0.18374438990182326,2003-01-01,2025-12-31
75,0.29737318840579713,0.18384963768115942,0.29945652173913045,0.18442847124824685,2003-01-01,2025-12-31
76,0.2972826086956522,0.18364130434782608,0.3004827021972885,0.18517847124824682,2003-01-01,2025-12-31
77,0.29827898550724635,0.18468297101449277,0.30148083216456295,0.18596867695184663,2003-01-01,2025-12-31
78,0.2971014492753623,0.184963768115942,0.3024859747545583,0.1868078541374474,2003-01-01,2025-12-31
79,0.29592391304347826,0.1852445652173913,0.303772791023843,0.18776671341748483,2003-01-01,2025-12-31
80,0.2947463768115942,0.18552536231884056,0.3053412809724171,0.18884525479195885,2003-01-01,2025-12-31
81,0.29085144927536233,0.18493659420289857,0.30715638148667607,0.1900539971949509,2003-01-01,2025-12-31
82,0.29304347826086957,0.18547826086956523,0.30924731182795706,0.19148410472183264,2003-01-01,2025-12-31
83,0.2952355072463768,0.18601992753623187,0.31150888265544646,0.19312505843852265,2003-01-01,2025-12-31
84,0.29742753623188406,0.18656159420289856,0.31394109396914444,0.19497685834502101,2003-01-01,2025-12-31
85,0.29934782608695654,0.18810869565217392,0.31658777466105653,0.19703512155212716,2003-01-01,2025-12-31
86,0.3066304347826087,0.19085869565217392,0.3194021739130435,0.19917186769518466,2003-01-01,2025-12-31
87,0.3139130434782609,0.19360869565217392,0.32243338008415146,0.20142660121552128,2003-01-01,2025-12-31
88,0.32119565217391305,0.19635869565217393,0.32568139317438055,0.20379932211313698,2003-01-01,2025-12-31
89,0.3310144927536232,0.19896376811594202,0.3290585553997195,0.2063040556334736,2003-01-01,2025-12-31
90,0.3299637681159421,0.20059057971014493,0.33267005610098177,0.2089706054230949,2003-01-01,2025-12-31
91,0.3289130434782609,0.20221739130434782,0.3364831697054699,0.21176367461430576,2003-01-01,2025-12-31
92,0.3278623188405797,0.20384420289855074,0.3404978962131837,0.21468326320710615,2003-01-01,2025-12-31
93,0.3278985507246377,0.20623188405797102,0.34467917251051894,0.21768904862085087,2003-01-01,2025-12-31
94,0.33644927536231883,0.21081159420289855,0.3490182328190743,0.22081960028050493,2003-01-01,2025-12-31
95,0.34500000000000003,0.21539130434782608,0.3533197255059106,0.22400412409002873,2003-01-01,2025-12-31
96,0.3535507246376812,0.2199710144927536,0.3575836505710278,0.22724262004942228,2003-01-01,2025-12-31
97,0.36047101449275365,0.22460507246376812,0.3618976657984372,0.23056313864956923,2003-01-01,2025-12-31
98,0.3641304347826087,0.22891304347826086,0.3662056702063715,0.2339338893341348,2003-01-01,2025-12-31
99,0.36778985507246376,0.23322101449275362,0.37080570026046883,0.23737883189741538,2003-01-01,2025-12-31
100,0.3714492753623188,0.23752898550724638,0.3756977559607293,0.240897966339411,2003-01-01,2025-12-31
101,0.37800724637681166,0.24270652173913043,0.38089060308555395,0.24445885928003747,2003-01-01,2025-12-31
102,0.3860869565217392,0.24910869565217392,0.3862638582782341,0.24806828958792498,2003-01-01,2025-12-31
103,0.39416666666666667,0.2555108695652174,0.3917465604755226,0.2517472116476325,2003-01-01,2025-12-31
104,0.4022463768115942,0.2619130434782609,0.39733870967741935,0.2554956254591599,2003-01-01,2025-12-31
105,0.4094202898550725,0.26672101449275365,0.4029584919521806,0.25931820610432116,2003-01-01,2025-12-31
106,0.41557971014492756,0.2704347826086957,0.40898058171375146,0.26321335069792295,2003-01-01,2025-12-31
107,0.42173913043478267,0.2741485507246377,0.415531206171108,0.2672329526481,2003-01-01,2025-12-31
108,0.42789855072463767,0.2778623188405797,0.4226103653242503,0.2713770119548521,2003-01-01,2025-12-31
109,0.4316123188405797,0.28201086956521737,0.43018299605957383,0.2756209844386563,2003-01-01,2025-12-31
110,0.42927018633540376,0.2839648033126294,0.4378487944967608,0.27991519735523945,2003-01-01,2025-12-31
111,0.42692805383022775,0.28591873706004145,0.445161582515194,0.2841445560341949,2003-01-01,2025-12-31
112,0.4245859213250518,0.28787267080745343,0.45212136011487347,0.2883090604755226,2003-01-01,2025-12-31
113,0.42659161490683234,0.2899715320910973,0.4587807219662059,0.29240695752354234,2003-01-01,2025-12-31
114,0.43783643892339547,0.2928131469979296,0.46506369798971486,0.2963862368930742,2003-01-01,2025-12-31
115,0.4490812629399586,0.2956547619047619,0.47164963601148735,0.3004166624924865,2003-01-01,2025-12-31
116,0.4603260869565218,0.2984963768115942,0.4785385360315234,0.3044982343217792,2003-01-01,2025-12-31
117,0.4732013457556936,0.3027510351966874,0.4856368964135444,0.30860290189006884,2003-01-01,2025-12-31
118,0.48387681159420287,0.3076552795031056,0.4930709443665264,0.31272622386963206,2003-01-01,2025-12-31
119,0.49455227743271224,0.31255952380952384,0.5007082192390747,0.31680021677909126,2003-01-01,2025-12-31
120,0.5052277432712216,0.317463768115942,0.5085487210311895,0.3208248806184465,2003-01-01,2025-12-31
121,0.5166485507246377,0.3213400621118013,0.5166216690042077,0.32485164128765104,2003-01-01,2025-12-31
122,0.5319824016563147,0.3268250517598344,0.52550618891783,0.32889914067543796,2003-01-01,2025-12-31
123,0.5473162525879918,0.33231004140786746,0.5352223168369734,0.33301070677218986,2003-01-01,2025-12-31
124,0.5626501035196688,0.33779503105590064,0.5457700527616377,0.33718633957790684,2003-01-01,2025-12-31
125,0.5740890269151139,0.34393219461697727,0.5572282886974332,0.3414120138471471,2003-01-01,2025-12-31
126,0.5716964285714287,0.34650142339544515,0.5682706371468644,0.34565193181059245,2003-01-01,2025-12-31
