doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,6.338589527995345,0.8915621674000412,6.373978096028426,0.8934063780219414,2003-01-01,2025-12-31
2,6.355311547215416,0.8924217288049436,6.379117199477743,0.8937504594238008,2003-01-01,2025-12-31
3,6.372033566435485,0.8932812902098458,6.382892144447519,0.8940233452493803,2003-01-01,2025-12-31
4,6.388755585655554,0.894140851614748,6.385809193086817,0.8942530859895639,2003-01-01,2025-12-31
5,6.4054776048756255,0.8950004130196503,6.3887594321103425,0.8944747447579556,2003-01-01,2025-12-31
6,6.422320397042555,0.8958599744245525,6.391742861518098,0.8946883215545557,2003-01-01,2025-12-31
7,6.439163189209485,0.8967195358294546,6.394668317214708,0.8948920340044225,2003-01-01,2025-12-31
8,6.456005981376415,0.8975790972343569,6.397372620863787,0.8950841289518762,2003-01-01,2025-12-31
9,6.472848773543344,0.8984386586392591,6.3997681146813195,0.8952622688560091,2003-01-01,2025-12-31
10,6.47253527898877,0.8984830026528571,6.4018547986673076,0.895426453716822,2003-01-01,2025-12-31
11,6.472221784434196,0.8985273466664548,6.40362968498751,0.8955789375916173,2003-01-01,2025-12-31
12,6.471908289879622,0.8985716906800528,6.405162899869135,0.895723226791756,2003-01-01,2025-12-31
13,6.471594795325047,0.8986160346936506,6.406424768685733,0.8958593213172378,2003-01-01,2025-12-31
14,6.451457284207326,0.8980858445457578,6.407415291437305,0.8959872211680628,2003-01-01,2025-12-31
15,6.431319773089605,0.897555654397865,6.40827202437019,0.8961094618316,2003-01-01,2025-12-31
16,6.4111822619718835,0.8970254642499722,6.408904805192263,0.8962215351932431,2003-01-01,2025-12-31
17,6.391044750854162,0.8964952741020794,6.4105491722392935,0.8963609693650914,2003-01-01,2025-12-31
18,6.392208933603617,0.8964467548834278,6.411735077910449,0.8964741177833296,2003-01-01,2025-12-31
19,6.393373116353072,0.8963982356647763,6.412446938599683,0.896560980447958,2003-01-01,2025-12-31
20,6.394537299102526,0.8963497164461248,6.412684754306998,0.8966215573589766,2003-01-01,2025-12-31
21,6.395701481851981,0.8963011972274733,6.412448525032391,0.8966558485163854,2003-01-01,2025-12-31
22,6.394039577644913,0.8961974243856333,6.41173435487435,0.8966638539201843,2003-01-01,2025-12-31
23,6.392377673437847,0.8960936515437933,6.410507180719274,0.8966455735703734,2003-01-01,2025-12-31
24,6.39071576923078,0.8959898787019533,6.408767002567159,0.8966010074669526,2003-01-01,2025-12-31
25,6.389053865023713,0.8958861058601135,6.4065138204180085,0.8965301556099221,2003-01-01,2025-12-31
26,6.387299337955143,0.895852208794671,6.4043010628757395,0.8964593153344849,2003-01-01,2025-12-31
27,6.385544810886574,0.8958183117292285,6.402029109862292,0.8963905379406367,2003-01-01,2025-12-31
28,6.383790283818005,0.8957844146637861,6.399697961377668,0.8963238234283775,2003-01-01,2025-12-31
29,6.382035756749437,0.8957505175983438,6.397307617421865,0.8962591717977073,2003-01-01,2025-12-31
30,6.384545473317392,0.8957952206413404,6.3954975624001476,0.8962151164086744,2003-01-01,2025-12-31
31,6.387055189885347,0.8958399236843373,6.394280751449944,0.89618928632693,2003-01-01,2025-12-31
