doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,4.467276105536975,0.8038966926793014,4.647031323048155,0.8206425315568022,2003-01-01,2025-12-31
2,4.5071878483835,0.8095376254180602,4.6732468443197765,0.8220140836839643,2003-01-01,2025-12-31
3,4.547099591230026,0.815178558156819,4.69819424964937,0.8231504207573632,2003-01-01,2025-12-31
4,4.587011334076552,0.8208194908955779,4.718823048153343,0.8239060308555398,2003-01-01,2025-12-31
5,4.626923076923077,0.8264604236343367,4.73218793828892,0.8241833216456287,2003-01-01,2025-12-31
6,4.647366220735786,0.828033723522854,4.7382889200561005,0.8239822931276296,2003-01-01,2025-12-31
7,4.6678093645484955,0.8296070234113712,4.739323281907433,0.8236839644693782,2003-01-01,2025-12-31
8,4.688252508361204,0.8311803232998886,4.736640953716691,0.8233637213651238,2003-01-01,2025-12-31
9,4.708695652173914,0.8327536231884057,4.733046984572231,0.8232012622720897,2003-01-01,2025-12-31
10,4.774456521739131,0.8352717391304347,4.728541374474053,0.8231965871902757,2003-01-01,2025-12-31
11,4.840217391304348,0.8377898550724637,4.72276180458158,0.8230721131369797,2003-01-01,2025-12-31
12,4.905978260869565,0.8403079710144928,4.716907433380084,0.8228972650771387,2003-01-01,2025-12-31
13,4.971739130434783,0.8428260869565218,4.711674188753431,0.8226537053020221,2003-01-01,2025-12-31
14,4.954891304347826,0.838894927536232,4.707062070701622,0.8223414338116299,2003-01-01,2025-12-31
15,4.9380434782608695,0.834963768115942,4.704152191894128,0.822184854533031,2003-01-01,2025-12-31
16,4.921195652173913,0.8310326086956522,4.706819026384244,0.8224749913091427,2003-01-01,2025-12-31
17,4.904347826086957,0.8271014492753623,4.713449670946166,0.8231119142661919,2003-01-01,2025-12-31
18,4.8375,0.8208333333333333,4.719552540727157,0.8236925144747723,2003-01-01,2025-12-31
19,4.770652173913044,0.8145652173913043,4.72319916447897,0.8240759550952396,2003-01-01,2025-12-31
20,4.703804347826087,0.8082971014492754,4.724389542201605,0.8242622361275935,2003-01-01,2025-12-31
21,4.636956521739131,0.8020289855072463,4.7231236738950635,0.8242513575718342,2003-01-01,2025-12-31
22,4.63822463768116,0.807572463768116,4.7200295788830156,0.8241745333908727,2003-01-01,2025-12-31
23,4.6394927536231885,0.8131159420289855,4.715671188909267,0.8239610529722731,2003-01-01,2025-12-31
24,4.640760869565218,0.818659420289855,4.71004850397382,0.8236109163160356,2003-01-01,2025-12-31
25,4.642028985507246,0.8242028985507247,4.7031615240766715,0.8231241234221599,2003-01-01,2025-12-31
26,4.632065217391305,0.8211413043478261,4.693548387096775,0.8224701963534361,2003-01-01,2025-12-31
27,4.6221014492753625,0.8180797101449275,4.680794179523142,0.821724520804114,2003-01-01,2025-12-31
28,4.61213768115942,0.815018115942029,4.664898901355774,0.8208870967741935,2003-01-01,2025-12-31
29,4.602173913043479,0.8119565217391305,4.645862552594671,0.8199579242636745,2003-01-01,2025-12-31
30,4.625724637681159,0.8158514492753624,4.626349929873774,0.8191450444132772,2003-01-01,2025-12-31
31,4.649275362318841,0.8197463768115942,4.60803821879383,0.8185580294530154,2003-01-01,2025-12-31
32,4.672826086956522,0.8236413043478261,4.5909274193548395,0.8181968793828893,2003-01-01,2025-12-31
33,4.696376811594203,0.827536231884058,4.575017531556803,0.8180615942028986,2003-01-01,2025-12-31
34,4.660144927536232,0.8270652173913043,4.561921458625526,0.8182275596072932,2003-01-01,2025-12-31
35,4.623913043478261,0.8265942028985507,4.549833450210379,0.8185342366259268,2003-01-01,2025-12-31
36,4.58768115942029,0.826123188405797,4.538753506311359,0.8189816252587993,2003-01-01,2025-12-31
37,4.551449275362319,0.8256521739130436,4.528681626928471,0.8195697255059108,2003-01-01,2025-12-31
38,4.53269927536232,0.8229891304347826,4.517420523609162,0.8199175181994257,2003-01-01,2025-12-31
39,4.513949275362319,0.8203260869565218,4.505405563347358,0.8200647415347627,2003-01-01,2025-12-31
40,4.495199275362319,0.8176630434782608,4.492636746143057,0.8200113955119217,2003-01-01,2025-12-31
41,4.476449275362319,0.8150000000000001,4.47911407199626,0.8197574801309024,2003-01-01,2025-12-31
42,4.44483695652174,0.8146739130434782,4.465199859747545,0.8195805783744075,2003-01-01,2025-12-31
43,4.41322463768116,0.8143478260869565,4.450403225806451,0.8194394910839513,2003-01-01,2025-12-31
44,4.38161231884058,0.8140217391304347,4.434724170172978,0.8193342182595339,2003-01-01,2025-12-31
45,4.3500000000000005,0.813695652173913,4.417204301075269,0.8192168403125627,2003-01-01,2025-12-31
46,4.370380434782609,0.816766304347826,4.398404628330995,0.8189354170840847,2003-01-01,2025-12-31
47,4.390760869565218,0.819836956521739,4.379552360916317,0.8186082865825152,2003-01-01,2025-12-31
48,4.411141304347827,0.8229076086956522,4.36064749883123,0.8182354488078541,2003-01-01,2025-12-31
49,4.431521739130435,0.8259782608695652,4.341690042075737,0.8178169037601014,2003-01-01,2025-12-31
50,4.395923913043478,0.8240722049689441,4.326197989714821,0.8176308188071862,2003-01-01,2025-12-31
51,4.360326086956522,0.8221661490683231,4.311564983637213,0.8175433697321844,2003-01-01,2025-12-31
52,4.324728260869565,0.8202600931677019,4.297791023842917,0.8175545565350965,2003-01-01,2025-12-31
53,4.289130434782609,0.8183540372670808,4.284876110331931,0.8176643792159218,2003-01-01,2025-12-31
54,4.267028985507247,0.8176798654244307,4.270117461430575,0.8177629733520335,2003-01-01,2025-12-31
55,4.244927536231884,0.8170056935817805,4.256618162692846,0.8179397498831228,2003-01-01,2025-12-31
56,4.2228260869565215,0.8163315217391305,4.244378214118747,0.8181947088091898,2003-01-01,2025-12-31
57,4.20072463768116,0.8156573498964803,4.2333976157082756,0.8185278501302342,2003-01-01,2025-12-31
58,4.16340579710145,0.8137060041407868,4.225318489948575,0.8189619648700994,2003-01-01,2025-12-31
59,4.126086956521739,0.8117546583850931,4.218188990182329,0.8193792994055965,2003-01-01,2025-12-31
60,4.059057971014493,0.8083178053830228,4.212009116409537,0.8197798537367259,2003-01-01,2025-12-31
61,4.042934782608696,0.8071273291925466,4.2067788686302015,0.8201636278634875,2003-01-01,2025-12-31
62,4.064855072463769,0.80960533126294,4.199623071528752,0.8203544296400186,2003-01-01,2025-12-31
63,4.086775362318841,0.8120833333333334,4.189700210378682,0.8203953366058906,2003-01-01,2025-12-31
64,4.108695652173913,0.8145613354037267,4.177010285179991,0.8202863487611032,2003-01-01,2025-12-31
65,4.1798913043478265,0.8212965838509317,4.161553295932679,0.8200274661056568,2003-01-01,2025-12-31
66,4.170289855072464,0.823883281573499,4.1464673913043475,0.8198721448607493,2003-01-01,2025-12-31
67,4.160688405797102,0.8264699792960662,4.130823398784479,0.8197625308889335,2003-01-01,2025-12-31
68,4.151086956521739,0.8290566770186336,4.114621318373072,0.819698624190209,2003-01-01,2025-12-31
69,4.07518115942029,0.8260455486542443,4.097861150070127,0.8196804247645763,2003-01-01,2025-12-31
70,4.0954710144927535,0.8258061594202898,4.07877512856475,0.8195840429439658,2003-01-01,2025-12-31
71,4.115760869565218,0.8255667701863354,4.058928154010553,0.8195093251185468,2003-01-01,2025-12-31
72,4.136050724637681,0.8253273809523809,4.038320226407534,0.8194562712883191,2003-01-01,2025-12-31
73,4.194384057971014,0.8281314699792961,4.016951345755694,0.8194248814532827,2003-01-01,2025-12-31
74,4.192210144927536,0.8272851966873707,3.9957740599746217,0.8194353169037603,2003-01-01,2025-12-31
75,4.190036231884058,0.8264389233954451,3.97520912642757,0.8194942980698592,2003-01-01,2025-12-31
