doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,0.3848902999480652,0.19966299203339508,0.3540011244377811,0.1910560143315439,2003-01-01,2025-12-31
2,0.3768056412969986,0.19836378134462182,0.3555692919669198,0.19190664748271025,2003-01-01,2025-12-31
3,0.36872098264593195,0.19706457065584854,0.35718813980106723,0.1927722126839806,2003-01-01,2025-12-31
4,0.3606363239948653,0.19576535996707528,0.3588751994970257,0.1936755009591978,2003-01-01,2025-12-31
5,0.35255166534379867,0.19446614927830205,0.3605778763843885,0.19463229070948398,2003-01-01,2025-12-31
6,0.35495009848017167,0.19581911250257225,0.36229617046315554,0.19564258193483905,2003-01-01,2025-12-31
7,0.3573485316165446,0.19717207572684248,0.364108973738937,0.19668241484096666,2003-01-01,2025-12-31
8,0.3597469647529176,0.1985250389511127,0.3660688808821397,0.19775003627218649,2003-01-01,2025-12-31
9,0.3621453978892906,0.1998780021753829,0.36795382550660166,0.19875837282971417,2003-01-01,2025-12-31
10,0.36345687450392455,0.200125892935885,0.36976380761232297,0.19970742451354967,2003-01-01,2025-12-31
11,0.3647683511185584,0.20037378369638711,0.37151635875610595,0.2006550454611404,2003-01-01,2025-12-31
12,0.3660798277331922,0.2006216744568892,0.37315888426754373,0.20158195096000386,2003-01-01,2025-12-31
13,0.3673913043478261,0.2008695652173913,0.37489857735585086,0.20257858321787872,2003-01-01,2025-12-31
14,0.3684782608695652,0.20151268115942028,0.37673543802102744,0.20364494223476498,2003-01-01,2025-12-31
15,0.3695652173913043,0.20215579710144926,0.3786168715926666,0.20478541089986316,2003-01-01,2025-12-31
16,0.3706521739130435,0.20279891304347825,0.380437688729955,0.20591437677745567,2003-01-01,2025-12-31
17,0.3717391304347826,0.20344202898550726,0.3818980998115742,0.20687896469222694,2003-01-01,2025-12-31
18,0.3739130434782609,0.2048641304347826,0.38373326145276504,0.20796961410186746,2003-01-01,2025-12-31
19,0.3760869565217391,0.20628623188405798,0.38591395439219034,0.20910918615644739,2003-01-01,2025-12-31
20,0.37826086956521743,0.20770833333333333,0.38844017862985014,0.2102976808559667,2003-01-01,2025-12-31
21,0.3804347826086957,0.2091304347826087,0.39131193416574445,0.21153509820042538,2003-01-01,2025-12-31
22,0.385054347826087,0.20980978260869562,0.3941910567486655,0.2127358841926285,2003-01-01,2025-12-31
23,0.38967391304347826,0.21048913043478262,0.3970231985525264,0.21396595748615255,2003-01-01,2025-12-31
24,0.3942934782608695,0.2111684782608696,0.39980835957732713,0.21522531808099746,2003-01-01,2025-12-31
25,0.3989130434782609,0.21184782608695651,0.40254653982306765,0.21651396597716321,2003-01-01,2025-12-31
26,0.4040760869565217,0.21432065217391305,0.40527280240335245,0.2178675486734811,2003-01-01,2025-12-31
27,0.4092391304347826,0.21679347826086956,0.40798714731818153,0.21924223727794545,2003-01-01,2025-12-31
28,0.41440217391304346,0.21926630434782607,0.41068957456755495,0.22063803179055635,2003-01-01,2025-12-31
29,0.41956521739130437,0.2217391304347826,0.4133800841514727,0.22205493221131367,2003-01-01,2025-12-31
30,0.42309782608695656,0.22434782608695653,0.41606591865357645,0.22348018934081346,2003-01-01,2025-12-31
