doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,4.779581237177146,0.8454839942666029,4.882512272089762,0.8478094319775594,2003-01-01,2025-12-31
2,4.794850645943996,0.8440275919732442,4.8933467741935495,0.8484744623655912,2003-01-01,2025-12-31
3,4.810120054710848,0.8425711896798853,4.900867812061712,0.8489717741935483,2003-01-01,2025-12-31
4,4.825389463477699,0.8411147873865265,4.907311911440594,0.8493965387697855,2003-01-01,2025-12-31
5,4.840658872244551,0.8396583850931677,4.911969044279704,0.8497022974687771,2003-01-01,2025-12-31
6,4.869699184021435,0.8429503105590063,4.914839210579044,0.849889050290523,2003-01-01,2025-12-31
7,4.89873949579832,0.8462422360248446,4.9173424664395915,0.8500917902224004,2003-01-01,2025-12-31
8,4.927779807575204,0.8495341614906833,4.91884767581647,0.8502999983303281,2003-01-01,2025-12-31
9,4.956820119352089,0.8528260869565218,4.919627252130759,0.8505255421296798,2003-01-01,2025-12-31
10,4.9725063938618925,0.8532608695652174,4.9196811953824575,0.8507684216204554,2003-01-01,2025-12-31
11,4.988192668371696,0.8536956521739131,4.919950365786621,0.8510169490981202,2003-01-01,2025-12-31
12,5.0038789428815,0.8541304347826086,4.920214366629163,0.8512631101367076,2003-01-01,2025-12-31
13,5.019565217391304,0.8545652173913044,4.920418334449973,0.8515388121695975,2003-01-01,2025-12-31
14,5.033423913043479,0.8555887681159421,4.920562269249051,0.85184405519679,2003-01-01,2025-12-31
15,5.047282608695652,0.8566123188405798,4.919120925584604,0.8521084207984627,2003-01-01,2025-12-31
16,5.061141304347826,0.8576358695652174,4.91602417722942,0.8523336621302959,2003-01-01,2025-12-31
17,5.075,0.8586594202898551,4.91807076191141,0.8527364692343653,2003-01-01,2025-12-31
18,5.023097826086956,0.8561503623188406,4.918786192219901,0.8531582065666917,2003-01-01,2025-12-31
19,4.971195652173913,0.853641304347826,4.91822848925955,0.8534918481471775,2003-01-01,2025-12-31
20,4.91929347826087,0.8511322463768117,4.916397653030356,0.8537373939758229,2003-01-01,2025-12-31
21,4.8673913043478265,0.8486231884057972,4.913293683532318,0.8538948440526278,2003-01-01,2025-12-31
22,4.859510869565218,0.8502989130434784,4.908472358087694,0.8538110265143923,2003-01-01,2025-12-31
23,4.851630434782609,0.8519746376811596,4.902468389178953,0.8536364205570024,2003-01-01,2025-12-31
24,4.84375,0.8536503623188405,4.895281776806094,0.8533710261804579,2003-01-01,2025-12-31
25,4.835869565217392,0.8553260869565217,4.886912520969116,0.8530148433847591,2003-01-01,2025-12-31
26,4.857155797101449,0.8566394927536232,4.877791397063734,0.8526600380685233,2003-01-01,2025-12-31
27,4.878442028985507,0.8579528985507247,4.867249284005327,0.8522744690442796,2003-01-01,2025-12-31
28,4.899728260869566,0.859266304347826,4.855286181793895,0.8518581363120282,2003-01-01,2025-12-31
29,4.921014492753623,0.8605797101449275,4.841902090429438,0.8514110398717691,2003-01-01,2025-12-31
30,4.89501811594203,0.8597101449275363,4.827155964068655,0.8509141872036332,2003-01-01,2025-12-31
31,4.869021739130434,0.8588405797101449,4.811582515194014,0.8503295932678822,2003-01-01,2025-12-31
32,4.843025362318841,0.8579710144927537,4.795181743805515,0.8496572580645162,2003-01-01,2025-12-31
33,4.817028985507247,0.8571014492753624,4.777953649903158,0.8488971815935351,2003-01-01,2025-12-31
34,4.792831262939958,0.8529140786749483,4.762019551860014,0.8481633189741536,2003-01-01,2025-12-31
35,4.7686335403726705,0.8487267080745342,4.7478239998664264,0.8475464586255261,2003-01-01,2025-12-31
36,4.744435817805383,0.84453933747412,4.735366993922393,0.8470466005476525,2003-01-01,2025-12-31
37,4.720238095238096,0.840351966873706,4.724648534027917,0.8466637447405331,2003-01-01,2025-12-31
38,4.71261645962733,0.8408294513457557,4.714248564082014,0.8462628982167903,2003-01-01,2025-12-31
39,4.7049948240165635,0.8413069358178054,4.704958926066921,0.8458475672877848,2003-01-01,2025-12-31
40,4.697373188405797,0.841784420289855,4.696779619982636,0.8454177519535164,2003-01-01,2025-12-31
41,4.689751552795031,0.8422619047619048,4.68971064582916,0.8449734522139851,2003-01-01,2025-12-31
42,4.661387163561076,0.8417430124223602,4.682811143391439,0.844526355773726,2003-01-01,2025-12-31
43,4.633022774327123,0.8412241200828158,4.6761074100046764,0.8440641905429774,2003-01-01,2025-12-31
44,4.604658385093168,0.8407052277432712,4.669599445668871,0.8435869565217392,2003-01-01,2025-12-31
45,4.5762939958592135,0.8401863354037268,4.663570259800975,0.8431118095905964,2003-01-01,2025-12-31
46,4.564505693581781,0.8384899068322981,4.659417367928939,0.8426780705269485,2003-01-01,2025-12-31
47,4.552717391304348,0.8367934782608696,4.655324305972974,0.842269181749371,2003-01-01,2025-12-31
48,4.540929089026915,0.8350970496894411,4.651291073933081,0.8418851432578641,2003-01-01,2025-12-31
49,4.529140786749482,0.8334006211180124,4.647317671809258,0.8415259550524277,2003-01-01,2025-12-31
50,4.531133540372672,0.8345186335403727,4.643118168258422,0.8412828647120372,2003-01-01,2025-12-31
