doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,5.028265647396083,0.8546278069756331,5.059464118747079,0.8575470430107526,2003-01-01,2025-12-31
2,5.046145484949833,0.8557015050167224,5.066120266479664,0.8579309841047217,2003-01-01,2025-12-31
3,5.064025322503584,0.8567752030578117,5.072498831229547,0.8583426834969611,2003-01-01,2025-12-31
4,5.081905160057334,0.8578489010989011,5.0795114539504445,0.8588242169237961,2003-01-01,2025-12-31
5,5.099784997611085,0.8589225991399904,5.087035413744741,0.8593221131369798,2003-01-01,2025-12-31
6,5.102556139512662,0.8582136884854276,5.095070710612435,0.8598363721365123,2003-01-01,2025-12-31
7,5.1053272814142385,0.8575047778308648,5.101472650771389,0.8602150537634408,2003-01-01,2025-12-31
8,5.108098423315814,0.856795867176302,5.105732819074334,0.8603967975689574,2003-01-01,2025-12-31
9,5.110869565217392,0.8560869565217392,5.108254441327723,0.8604745208041141,2003-01-01,2025-12-31
10,5.121376811594203,0.8578804347826087,5.109037517531556,0.8604482234689107,2003-01-01,2025-12-31
11,5.131884057971015,0.8596739130434783,5.1108520336605885,0.8604786115007013,2003-01-01,2025-12-31
12,5.142391304347826,0.8614673913043478,5.112630067454752,0.860527516195819,2003-01-01,2025-12-31
13,5.152898550724638,0.8632608695652174,5.114622589892576,0.8605877181490784,2003-01-01,2025-12-31
14,5.204166666666667,0.8656702898550724,5.116829600974061,0.8606592173604796,2003-01-01,2025-12-31
15,5.255434782608696,0.8680797101449275,5.1193329146309505,0.8608460344003822,2003-01-01,2025-12-31
16,5.306702898550725,0.8704891304347827,5.122500693556093,0.8611709602926293,2003-01-01,2025-12-31
17,5.357971014492755,0.8728985507246377,5.120940230877117,0.8614734059769122,2003-01-01,2025-12-31
18,5.340942028985508,0.8727898550724638,5.118960783256013,0.8618504962779157,2003-01-01,2025-12-31
19,5.323913043478261,0.8726811594202898,5.117351270748885,0.8622122358707212,2003-01-01,2025-12-31
20,5.306884057971015,0.872572463768116,5.116111693355731,0.8625586247553289,2003-01-01,2025-12-31
21,5.2898550724637685,0.8724637681159421,5.115242051076552,0.8628896629317386,2003-01-01,2025-12-31
22,5.206340579710145,0.8676449275362319,5.11522972119045,0.8632628539062619,2003-01-01,2025-12-31
23,5.122826086956522,0.8628260869565217,5.1114989673720395,0.8634993757995159,2003-01-01,2025-12-31
24,5.039311594202899,0.8580072463768116,5.104049789621319,0.8635992286115005,2003-01-01,2025-12-31
25,4.955797101449275,0.8531884057971015,5.092882187938289,0.863562412342216,2003-01-01,2025-12-31
26,4.958152173913044,0.8533514492753624,5.077746610565685,0.8633082047685835,2003-01-01,2025-12-31
27,4.960507246376812,0.8535144927536232,5.064777933613838,0.863145278167368,2003-01-01,2025-12-31
28,4.96286231884058,0.8536775362318841,5.05397615708275,0.8630736325385694,2003-01-01,2025-12-31
29,4.965217391304348,0.8538405797101448,5.045341280972418,0.863093267882188,2003-01-01,2025-12-31
30,4.970108695652174,0.8572282608695653,5.037558438522676,0.8631843151005143,2003-01-01,2025-12-31
31,4.9750000000000005,0.8606159420289855,5.026981065918655,0.8631539270687237,2003-01-01,2025-12-31
32,4.979891304347826,0.8640036231884057,5.013609163160356,0.8630021037868163,2003-01-01,2025-12-31
33,4.984782608695652,0.8673913043478261,4.99744273024778,0.862728845254792,2003-01-01,2025-12-31
34,5.014130434782609,0.8679891304347827,4.980684899485741,0.8624153810191679,2003-01-01,2025-12-31
35,5.043478260869565,0.8685869565217391,4.96539270687237,0.8621604721832634,2003-01-01,2025-12-31
36,5.072826086956522,0.8691847826086957,4.951566152407667,0.8619641187470782,2003-01-01,2025-12-31
37,5.102173913043479,0.8697826086956522,4.939205236091631,0.8618263207106126,2003-01-01,2025-12-31
38,4.989673913043478,0.8648369565217391,4.9304546517064045,0.8618990182328192,2003-01-01,2025-12-31
39,4.877173913043479,0.8598913043478261,4.923175549322113,0.8620869565217392,2003-01-01,2025-12-31
40,4.764673913043478,0.854945652173913,4.917367928938757,0.8623901355773727,2003-01-01,2025-12-31
41,4.6521739130434785,0.85,4.913031790556335,0.8628085553997196,2003-01-01,2025-12-31
42,4.729855072463769,0.8546231884057971,4.907397148200094,0.863181510051426,2003-01-01,2025-12-31
43,4.807536231884058,0.8592463768115942,4.9028833567087435,0.8635995792426369,2003-01-01,2025-12-31
44,4.885217391304348,0.8638695652173913,4.8994904160822825,0.864062762973352,2003-01-01,2025-12-31
45,4.962898550724638,0.8684927536231885,4.897504675081814,0.8645804114071995,2003-01-01,2025-12-31
46,4.9275362318840585,0.8671376811594204,4.896312529219261,0.8650303880317904,2003-01-01,2025-12-31
47,4.892173913043479,0.8657826086956522,4.894880785413744,0.865352384291725,2003-01-01,2025-12-31
48,4.856811594202899,0.8644275362318841,4.893209443665264,0.8655464001870032,2003-01-01,2025-12-31
49,4.821449275362319,0.8630724637681159,4.89129850397382,0.865612435717625,2003-01-01,2025-12-31
50,4.849855072463769,0.8647789855072464,4.888125292192614,0.8656451612903225,2003-01-01,2025-12-31
51,4.878260869565218,0.8664855072463769,4.884005376344087,0.8656726273959793,2003-01-01,2025-12-31
52,4.906666666666667,0.8681920289855072,4.878938756428238,0.8656948340345955,2003-01-01,2025-12-31
53,4.935072463768116,0.8698985507246376,4.872925432445068,0.8657117812061709,2003-01-01,2025-12-31
54,4.897173913043479,0.8686521739130434,4.8700660355306225,0.8658784478728375,2003-01-01,2025-12-31
55,4.859275362318841,0.8674057971014493,4.86864247311828,0.8661252921926131,2003-01-01,2025-12-31
56,4.821376811594203,0.866159420289855,4.868654745208041,0.8664523141654976,2003-01-01,2025-12-31
57,4.783478260869566,0.8649130434782609,4.870102851799907,0.8668595137914912,2003-01-01,2025-12-31
58,4.820579710144927,0.8664746376811594,4.867237611033193,0.8670417251051893,2003-01-01,2025-12-31
59,4.85768115942029,0.868036231884058,4.862129499766246,0.867118513323983,2003-01-01,2025-12-31
60,4.903659420289856,0.8698876811594204,4.8547785179990655,0.8670898784478727,2003-01-01,2025-12-31
61,4.933152173913044,0.8711775362318841,4.845184665731651,0.8669558204768583,2003-01-01,2025-12-31
62,4.930615942028986,0.8705978260869565,4.8372282608695665,0.8669173679289386,2003-01-01,2025-12-31
