doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,0.33217391304347826,0.17869565217391306,0.3315743338008415,0.17723936418887332,2003-01-01,2025-12-31
2,0.32902173913043475,0.17646739130434783,0.3300315568022441,0.1766970546984572,2003-01-01,2025-12-31
3,0.3258695652173913,0.17423913043478262,0.3288920056100982,0.1761500701262272,2003-01-01,2025-12-31
4,0.32271739130434784,0.17201086956521738,0.328015427769986,0.17557737260402057,2003-01-01,2025-12-31
5,0.31956521739130433,0.16978260869565218,0.32743688639551194,0.1750525946704067,2003-01-01,2025-12-31
6,0.3184782608695652,0.1696195652173913,0.327156381486676,0.1745757363253857,2003-01-01,2025-12-31
7,0.3173913043478261,0.16945652173913042,0.3267122487143525,0.1741286816269285,2003-01-01,2025-12-31
8,0.31630434782608696,0.16929347826086957,0.32617461430575034,0.17372370266479664,2003-01-01,2025-12-31
9,0.31521739130434784,0.1691304347826087,0.32536816269284713,0.17329943899018233,2003-01-01,2025-12-31
10,0.31684782608695655,0.16969202898550725,0.3242928938756428,0.17285589060308557,2003-01-01,2025-12-31
11,0.3184782608695652,0.1702536231884058,0.3231065918653576,0.17240182328190745,2003-01-01,2025-12-31
12,0.3201086956521739,0.17081521739130434,0.32182328190743337,0.17194495091164097,2003-01-01,2025-12-31
13,0.32173913043478264,0.1713768115942029,0.3206007480130902,0.1715413744740533,2003-01-01,2025-12-31
14,0.31630434782608696,0.1698731884057971,0.3194389901823281,0.17119109396914448,2003-01-01,2025-12-31
15,0.31086956521739134,0.1683695652173913,0.3184782608695651,0.17086079943899016,2003-01-01,2025-12-31
16,0.30543478260869567,0.1668659420289855,0.3176834969611967,0.17054873772791018,2003-01-01,2025-12-31
17,0.3,0.1653623188405797,0.3173001402524543,0.17033660589060304,2003-01-01,2025-12-31
18,0.3086956521739131,0.16630434782608697,0.3171353436185132,0.17018408134642354,2003-01-01,2025-12-31
19,0.3173913043478261,0.1672463768115942,0.31694950911640946,0.1700964235624123,2003-01-01,2025-12-31
20,0.32608695652173914,0.16818840579710145,0.316742636746143,0.17007363253856936,2003-01-01,2025-12-31
21,0.3347826086956522,0.1691304347826087,0.3165147265077139,0.17011570827489478,2003-01-01,2025-12-31
22,0.32916666666666666,0.1695108695652174,0.3161991584852735,0.17015603085553996,2003-01-01,2025-12-31
23,0.3235507246376812,0.1698913043478261,0.316234221598878,0.17040322580645162,2003-01-01,2025-12-31
24,0.3179347826086957,0.17027173913043478,0.3166199158485274,0.17085729312762973,2003-01-01,2025-12-31
25,0.31231884057971016,0.1706521739130435,0.3173562412342217,0.17151823281907438,2003-01-01,2025-12-31
26,0.3115942028985507,0.17130434782608694,0.31835553997194954,0.17236266947171577,2003-01-01,2025-12-31
27,0.31086956521739134,0.17195652173913042,0.319109396914446,0.17309607293127632,2003-01-01,2025-12-31
28,0.3101449275362319,0.17260869565217393,0.31961781206171114,0.173718443197756,2003-01-01,2025-12-31
29,0.3094202898550725,0.17326086956521738,0.31988078541374476,0.1742297802711548,2003-01-01,2025-12-31
30,0.3130434782608696,0.1728804347826087,0.3201262272089762,0.1746967040673212,2003-01-01,2025-12-31
31,0.31666666666666665,0.17250000000000001,0.3204593267882188,0.17522791023842918,2003-01-01,2025-12-31
32,0.32028985507246377,0.1721195652173913,0.3208800841514727,0.17582339878447875,2003-01-01,2025-12-31
33,0.3239130434782609,0.17173913043478262,0.32138849929873775,0.17648316970546984,2003-01-01,2025-12-31
34,0.3201086956521739,0.17152173913043478,0.3215287517531557,0.1771283309957924,2003-01-01,2025-12-31
35,0.31630434782608696,0.17130434782608694,0.3214235624123422,0.1777466105656849,2003-01-01,2025-12-31
36,0.3125,0.17108695652173914,0.3210729312762973,0.17833800841514724,2003-01-01,2025-12-31
37,0.3086956521739131,0.1708695652173913,0.3204768583450211,0.1789025245441795,2003-01-01,2025-12-31
38,0.3184782608695652,0.17711956521739133,0.32009700794763907,0.17945827489481062,2003-01-01,2025-12-31
39,0.32826086956521744,0.1833695652173913,0.31982819074333796,0.17996026180458155,2003-01-01,2025-12-31
40,0.33804347826086956,0.18961956521739132,0.3196704067321177,0.18040848527349226,2003-01-01,2025-12-31
41,0.34782608695652173,0.1958695652173913,0.3196236559139784,0.18080294530154276,2003-01-01,2025-12-31
42,0.3418478260869566,0.19298913043478264,0.31953015427769976,0.1811348761103319,2003-01-01,2025-12-31
43,0.3358695652173913,0.19010869565217395,0.319617812061711,0.1814673913043478,2003-01-01,2025-12-31
44,0.3298913043478261,0.18722826086956523,0.31988662926601213,0.1818004908835905,2003-01-01,2025-12-31
45,0.3239130434782609,0.18434782608695652,0.3204417952314166,0.1821470313230482,2003-01-01,2025-12-31
46,0.32119565217391305,0.18483695652173915,0.32086255259467045,0.18251694717157552,2003-01-01,2025-12-31
47,0.3184782608695652,0.18532608695652175,0.32109630668536704,0.1829014726507714,2003-01-01,2025-12-31
48,0.3157608695652174,0.18581521739130433,0.32114305750350636,0.1833006077606358,2003-01-01,2025-12-31
49,0.3130434782608696,0.18630434782608696,0.3210028050490884,0.18371435250116877,2003-01-01,2025-12-31
50,0.3141304347826087,0.1864130434782609,0.3210378681626928,0.18414387564282372,2003-01-01,2025-12-31
51,0.31521739130434784,0.1865217391304348,0.3212131837307153,0.1846084618980832,2003-01-01,2025-12-31
52,0.31630434782608696,0.1866304347826087,0.32152875175315565,0.18510811126694715,2003-01-01,2025-12-31
53,0.3173913043478261,0.1867391304347826,0.32198457223001403,0.18564282374941563,2003-01-01,2025-12-31
54,0.31521739130434784,0.18545289855072464,0.3221423562412342,0.18603377746610567,2003-01-01,2025-12-31
55,0.3130434782608696,0.18416666666666667,0.32196704067321186,0.18622662459093034,2003-01-01,2025-12-31
