doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,1.4515527950310558,0.5191428571428571,1.3628167367928938,0.5002912575970079,2003-01-01,2025-12-31
2,1.4327898550724638,0.5161739130434783,1.362441561477326,0.4995564516129032,2003-01-01,2025-12-31
3,1.4140269151138716,0.5132049689440994,1.3615182328190745,0.49891333567087426,2003-01-01,2025-12-31
4,1.3952639751552796,0.5102360248447205,1.3602220663861617,0.49839346657316497,2003-01-01,2025-12-31
5,1.3765010351966875,0.5072670807453417,1.3592251051893407,0.49804008882655443,2003-01-01,2025-12-31
6,1.3729554865424431,0.5051785714285714,1.3585273492286114,0.4978532024310426,2003-01-01,2025-12-31
7,1.3694099378881988,0.5030900621118013,1.358765778401122,0.4979298153342684,2003-01-01,2025-12-31
8,1.3658643892339546,0.5010015527950311,1.3597124824684432,0.4982892122487144,2003-01-01,2025-12-31
9,1.3623188405797102,0.4989130434782609,1.3607807386629265,0.49869027582982706,2003-01-01,2025-12-31
10,1.3536231884057972,0.4965942028985507,1.361970546984572,0.49913300607760636,2003-01-01,2025-12-31
11,1.344927536231884,0.4942753623188406,1.3626332398316967,0.4994672159887798,2003-01-01,2025-12-31
12,1.336231884057971,0.4919565217391304,1.3630526614572898,0.49969050123555736,2003-01-01,2025-12-31
13,1.327536231884058,0.4896376811594203,1.363078040472851,0.4998168870633808,2003-01-01,2025-12-31
14,1.32768115942029,0.4872518115942029,1.3627093768783811,0.4998463734722501,2003-01-01,2025-12-31
15,1.327826086956522,0.48486594202898553,1.3621073766112335,0.4998420740666534,2003-01-01,2025-12-31
16,1.3279710144927537,0.4824800724637682,1.3606058405129233,0.4996707490148935,2003-01-01,2025-12-31
17,1.3281159420289854,0.4800942028985507,1.3581521739130433,0.49960063113604497,2003-01-01,2025-12-31
18,1.3251811594202898,0.4821286231884058,1.3563581112669472,0.4997018466573166,2003-01-01,2025-12-31
19,1.3222463768115944,0.48416304347826083,1.355160538970146,0.49993068356374815,2003-01-01,2025-12-31
20,1.3193115942028988,0.48619746376811596,1.3545594570226407,0.5002871418553396,2003-01-01,2025-12-31
21,1.3163768115942032,0.488231884057971,1.3545548654244306,0.5007712215320912,2003-01-01,2025-12-31
22,1.3331884057971015,0.4932735507246377,1.354655880585053,0.5013545214719829,2003-01-01,2025-12-31
