siteID,original_site,lat,lon,lai_fpar_file_path
AU-Dig,DigbyPlantation,-37.88269,141.61647,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/DigbyPlantation_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Gat,GatumPasture,-37.39004,141.9609,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/GatumPasture_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Otw,Otway,-38.525,142.81,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Otway_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-SiP,SilverPlains,-42.09056,147.08749,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/SilverPlains_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Eme,Emerald,-23.85872,148.47459,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Emerald_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Alp,AlpinePeatland,-36.86222,147.32083,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/AlpinePeatland_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Rig,RiggsCreek,-36.656,145.576,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/RiggsCreek_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-YarC,YarramundiControl,-33.61347,150.73486,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/YarramundiControl_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/YarramundiIrrigated_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Ync,Yanco,-34.9878,146.2908,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Yanco_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
