siteID,original_site,lat,lon,modis_IGBP_code,modis_IGBP,modis_PFT_code,modis_PFT
AU-Dig,DigbyPlantation,-37.88269,141.61647,2,Evergreen Broadleaf Forests: dominated by evergreen broadleaf and palmate trees (canopy >2m). Tree cover >60%.,2,Evergreen Needleleaf Trees: dominated by evergreen conifer trees (>2m). Tree cover >10%.
AU-Gat,GatumPasture,-37.39004,141.9609,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
AU-Otw,Otway,-38.525,142.81,9,Savannas: tree cover 10-30% (canopy >2m).,4,Deciduous Broadleaf Trees: dominated by deciduous broadleaf trees (>2m). Tree cover >10%.
AU-SiP,SilverPlains,-42.09056,147.08749,8,Woody Savannas: tree cover 30-60% (canopy >2m).,2,Evergreen Broadleaf Trees: dominated by evergreen broadleaf and palmate trees (>2m). Tree cover >10%.
AU-Eme,Emerald,-23.85872,148.47459,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
AU-Alp,AlpinePeatland,-36.86222,147.32083,1,Evergreen Needleleaf Forests: dominated by evergreen conifer trees (canopy >2m). Tree cover >60%.,1,Evergreen Needleleaf Trees: dominated by evergreen conifer trees (>2m). Tree cover >10%.
AU-Rig,RiggsCreek,-36.656,145.576,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
AU-YarC,YarramundiControl,-33.61347,150.73486,9,Savannas: tree cover 10-30% (canopy >2m).,2,Evergreen Needleleaf Trees: dominated by evergreen conifer trees (>2m). Tree cover >10%.
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
AU-Ync,Yanco,-34.9878,146.2908,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
AU-DaP,DalyPasture,-14.0633,131.3181,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
AU-Fog,FoggDam,-12.5452,131.30721,10,Grasslands: dominated by herbaceous annuals (<2m).,6,not cultivated.
