site,soil_texture,zm,MAXSMC,DRYSMC,BB,SATPSI,SATDK
DigbyPlantation,SANDY CLAY LOAM,0.3,0.4447203901,0.1953350075,8.546338313,0.1351774795,1.83E-06
GatumPasture,SANDY CLAY LOAM,0.05,0.6086195017,0.2063127734,7.369006558,0.05277955159,1.16E-05
Otway,SANDY CLAY LOAM,0.075,0.5129196686,0.1650996338,6.733601279,0.07406222326,7.33E-06
SilverPlains,SANDY CLAY LOAM,0.1,0.5658188751,0.1642406426,6.115950689,0.07926863548,1.17E-05
Emerald,SANDY CLAY LOAM,0.15,0.4743448592,0.2626685445,9.708416942,0.49266818,4.27E-07
AlpinePeatland,SANDY CLAY LOAM,0.05,0.7094875916,0.2795623135,7.791624394,0.1079249732,1.04E-05
RiggsCreek,SANDY CLAY LOAM,0.05,0.5447167655,0.1725160481,6.774903616,0.06332594953,9.33E-06
YarramundiControl,SANDY CLAY LOAM,0.1,0.4528193972,0.1451400258,6.095863678,0.1487214688,4.23E-06
YarramundiIrrigated,SANDY CLAY LOAM,0.1,0.4501929928,0.1430768259,6.287997205,0.11329752,4.62E-06
Yanco,SANDY CLAY,0.1,0.4325621888,0.2207808951,9.438050005,0.2678170202,7.19E-07
DalyPasture, LOAMY SAND,0.05,0.4238093162,0.06411427293,6.26524846,0.001111002038,1.85E-05
FoggDam,SANDY CLAY LOAM,0.1,0.4515147492,0.2254976003,9.52127031,0.2058835719,1.02E-06
SturtPlains,SANDY CLAY LOAM,0.05,0.4101172871,0.1846577621,9.05592074,0.1112569425,1.43E-06
WallabyCreek, CLAY,0.4,0.4582577163,0.2666187738,10.43588723,0.5368474684,2.78E-07
Collie,LOAMY SAND,0.3,0.425369719,0.078913,6.808115,0.001598,1.52E-05
Boyagin,SANDY LOAM,0.4,0.395569903,0.113153,7.965859,0.007156,6.28E-06
AdelaideRiver,SANDY LOAM,0.05,0.448938854,0.112742,6.639675,0.015853,1.02E-05
DalyUncleared,SAND,0.05,0.429960889,0.048356,5.794343,4.85E-04,2.47E-05
HowardSprings,SANDY CLAY LOAM,0.4,0.413057482,0.200386,9.564117,0.151382,1.01E-06
Litchfield,SANDY CLAY LOAM,0.2,0.405305772,0.144619,8.795027,0.017712,3.93E-06
GreatWesternWoodlands,SANDY LOAM,0.1,0.410669565,0.105526,7.719324,0.004257,8.67E-06
Ridgefield,LOAMY SAND,0.05,0.484388897,0.095905,7.14965,0.001432,2.08E-05
CumberlandPlain,SANDY CLAY LOAM,0.2,0.413265306,0.111584,6.828195,0.020039,6.95E-06
CapeTribulation,SANDY CLAY LOAM,0.1,0.536885298,0.187219,6.774962,0.121566,6.08E-06
CowBay,SANDY CLAY LOAM,0.15,0.540555377,0.20778,7.392355,0.130316,4.77E-06
Whroo,SANDY CLAY LOAM,0.1,0.439532943,0.164676,7.837389,0.069665,3.39E-06
RobsonCreek,SANDY CLAY LOAM,0.15,0.481691784,0.231217,9.159166,0.184114,1.50E-06
Tumbarumba,CLAY LOAM,0.3,0.504624365,0.207652,7.56825,0.184508,2.84E-06
Loxton,SANDY LOAM,0.45,0.389995117,0.120881,8.464023,0.007567,5.21E-06
Warra,CLAY,0.3,0.512488196,0.259832,9.479146,0.244511,1.27E-06
AliceSpringsMulga,SANDY LOAM,0.1,0.396717387,0.09833,7.176586,0.006871,7.94E-06
TiTreeEast,SANDY LOAM,0.1,0.396717387,0.09833,7.176586,0.006871,7.94E-06
Gingin,LOAMY SAND,0.3,0.433084228,0.074085,6.70895,0.001096,1.77E-05
RedDirtMelonFarm,LOAMY SAND,0.05,0.426308849,0.0615,6.981719,2.06E-04,2.07E-05
