siteID,original_site,lat,lon,root_depth_from_paper
AU-Dig,DigbyPlantation,-37.88269,141.61647,0.5864661931991577
AU-Gat,GatumPasture,-37.39004,141.9609,0.5799999833106995
AU-Otw,Otway,-38.525,142.81,0.6929850578308105
AU-SiP,SilverPlains,-42.09056,147.08749,0.6299999952316284
AU-Eme,Emerald,-23.85872,148.47459,0.4099999964237213
AU-Alp,AlpinePeatland,-36.86222,147.32083,1.4900000095367432
AU-Rig,RiggsCreek,-36.656,145.576,0.4699999988079071
AU-YarC,YarramundiControl,-33.61347,150.73486,0.949999988079071
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,0.949999988079071
AU-Ync,Yanco,-34.9878,146.2908,0.3600000143051147
AU-DaP,DalyPasture,-14.0633,131.3181,0.3100000023841858
AU-Fog,FoggDam,-12.5452,131.30721,0.3845238089561462
AU-Stp,SturtPlains,-17.1507,133.35021,0.1800000071525573
AU-Wal,WallabyCreek,-37.4259,145.1878,0.6299999952316284
AU-Col,Collie,-33.42,116.237,0.3400000035762787
AU-Boy,Boyagin,-32.47709,116.93856,0.4399999976158142
AU-Adr,AdelaideRiver,-13.0769,131.1178,0.3000000119209289
AU-DaS,DalyUncleared,-14.1592,131.38811,0.3100000023841858
AU-How,HowardSprings,-12.4952,131.15005,0.4861156940460205
AU-Lit,Litchfield,-13.17904,130.79454,0.3000000119209289
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,0.25
AU-Rgf,Ridgefield,-32.5061,116.96683,0.4399999976158142
AU-Cum,CumberlandPlain,-33.61528,150.72361,0.949999988079071
AU-Ctr,CapeTribulation,-16.10322,145.44692,0.8192187547683716
AU-Cow,CowBay,-16.23819,145.42716,0.7775362133979797
AU-Whr,Whroo,-36.6732,145.0294,1.3300000429153442
AU-Rob,RobsonCreek,-17.11747,145.63014,0.8799999952316284
AU-Tum,Tumbarumba,-35.6566,148.15159,1.059999942779541
AU-Lox,Loxton,-34.47035,140.65512,0.4399999976158142
AU-War,Warra,-43.09502,146.65452,0.6700000166893005
AU-ASM,AliceSpringsMulga,-22.283,133.24899,0.3300000131130218
AU-TTE,TiTreeEast,-22.287,133.64,0.3300000131130218
AU-Gin,Gingin,-31.37635,115.71377,0.3600000143051147
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,0.2000000029802322
