siteID,original_site,lat,lon,flux_data_starts,flux_data_ends,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover
AU-Dig,DigbyPlantation,-37.88269,141.61647,2018-01-01 00:30:00,2021-07-07 12:00:00,57.5,1.25,41.25
AU-Gat,GatumPasture,-37.39004,141.9609,2015-02-09 00:30:00,2021-12-31 23:30:00,90.14285714285714,0.4285714285714285,9.428571428571429
AU-Otw,Otway,-38.525,142.81,2007-08-11 00:00:00,2011-01-01 00:00:00,65.6,0.4,34.0
AU-SiP,SilverPlains,-42.09056,147.08749,2019-12-05 10:00:00,2024-12-31 23:30:00,50.8,2.0,47.2
AU-Eme,Emerald,-23.85872,148.47459,2011-06-10 00:30:00,2013-12-31 23:30:00,69.0,24.33333333333333,6.666666666666667
AU-Alp,AlpinePeatland,-36.86222,147.32083,2017-04-12 18:30:00,2022-06-20 23:30:00,48.0,4.0,48.0
AU-Rig,RiggsCreek,-36.656,145.576,2011-01-01 00:30:00,2017-07-12 17:30:00,92.0,2.857142857142857,5.142857142857143
AU-YarC,YarramundiControl,-33.61347,150.73486,2019-10-22 15:30:00,2025-01-01 00:00:00,79.6,7.8,12.6
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,2019-10-15 09:30:00,2024-12-29 12:00:00,75.4,5.2,19.4
AU-Ync,Yanco,-34.9878,146.2908,2012-10-24 14:00:00,2025-01-28 03:00:00,72.91666666666667,21.166666666666668,5.916666666666667
AU-DaP,DalyPasture,-14.0633,131.3181,2008-01-01 00:00:00,2013-09-08 13:30:00,78.83333333333333,11.166666666666666,10.0
AU-Fog,FoggDam,-12.5452,131.30721,2006-02-07 00:00:00,2008-10-31 17:30:00,65.66666666666667,15.666666666666666,18.666666666666668
AU-Stp,SturtPlains,-17.1507,133.35021,2008-08-28 11:00:00,2025-02-02 00:00:00,60.4375,37.0625,2.5
AU-Wal,WallabyCreek,-37.4259,145.1878,2005-08-25 12:30:00,2008-12-31 23:30:00,21.0,0.75,78.25
AU-Col,Collie,-33.42,116.237,2017-08-04 00:30:00,2019-11-11 13:30:00,56.0,6.333333333333333,37.66666666666666
AU-Boy,Boyagin,-32.47709,116.93856,2017-10-20 13:00:00,2025-02-02 00:00:00,61.71428571428572,5.571428571428571,32.714285714285715
AU-Adr,AdelaideRiver,-13.0769,131.1178,2007-10-17 11:30:00,2009-05-24 06:00:00,93.33333333333331,1.0,5.666666666666667
AU-DaS,DalyUncleared,-14.1592,131.38811,2008-01-01 00:00:00,2025-02-02 00:00:00,76.5625,12.125,11.3125
AU-How,HowardSprings,-12.4952,131.15005,2002-01-01 06:00:00,2025-02-02 00:00:00,74.95454545454545,7.818181818181818,17.227272727272727
AU-Lit,Litchfield,-13.17904,130.79454,2015-06-23 13:00:00,2025-01-17 00:00:00,73.11111111111111,8.0,18.88888888888889
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,2013-01-01 15:30:00,2024-12-31 23:30:00,66.18181818181819,26.09090909090909,7.727272727272727
AU-Rgf,Ridgefield,-32.5061,116.96683,2015-03-29 05:00:00,2025-02-02 00:00:00,78.11111111111111,17.77777777777778,4.111111111111111
AU-Cum,CumberlandPlain,-33.61528,150.72361,2014-01-01 00:30:00,2025-01-01 00:00:00,46.1,2.9,51.0
AU-Ctr,CapeTribulation,-16.10322,145.44692,2010-01-01 00:00:00,2018-11-02 12:00:00,22.666666666666668,2.4444444444444446,74.88888888888889
AU-Cow,CowBay,-16.23819,145.42716,2009-01-01 09:00:00,2025-02-02 00:00:00,24.933333333333334,3.466666666666667,71.6
AU-Whr,Whroo,-36.6732,145.0294,2011-12-01 13:30:00,2023-12-31 23:30:00,53.61538461538461,3.230769230769231,43.15384615384615
AU-Rob,RobsonCreek,-17.11747,145.63014,2013-08-01 17:30:00,2025-02-02 00:00:00,22.363636363636363,3.1818181818181817,74.45454545454545
AU-Tum,Tumbarumba,-35.6566,148.15159,2002-01-07 16:00:00,2022-12-03 18:00:00,23.19047619047619,0.8095238095238095,76.0
AU-Lox,Loxton,-34.47035,140.65512,2008-08-19 17:00:00,2009-06-09 10:30:00,82.0,4.5,13.5
AU-War,Warra,-43.09502,146.65452,2013-03-05 15:00:00,2021-09-21 12:00:00,16.77777777777778,5.777777777777778,77.44444444444444
AU-ASM,AliceSpringsMulga,-22.283,133.24899,2010-09-03 00:00:00,2025-01-28 10:00:00,52.785714285714285,40.785714285714285,6.428571428571429
AU-TTE,TiTreeEast,-22.287,133.64,2012-07-18 00:00:00,2022-01-17 23:30:00,52.72727272727273,41.18181818181818,6.090909090909091
AU-Gin,Gingin,-31.37635,115.71377,2011-10-13 14:00:00,2024-12-31 23:30:00,61.61538461538461,7.461538461538462,30.923076923076923
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,2011-09-23 09:00:00,2013-07-21 23:30:00,69.0,27.0,4.0
