system:index,canopy height,end,first,geometry,site,start,vegetation,.geo
0000000000000000000b,+6m,2021-07-07 12:00:00,0.5864661931991577,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),"{""type"":""Point"",""coordinates"":[141.6164699606592,-37.88269431864427]}"
00000000000000000010,0.05m,2021-12-31 23:30:00,0.5799999833106995,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,"{""type"":""Point"",""coordinates"":[141.96089538512842,-37.39003499785536]}"
00000000000000000019,0.1 m,2011-01-01 00:00:00,0.6929850578308105,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed","{""type"":""Point"",""coordinates"":[142.80999740772558,-38.52500107078683]}"
0000000000000000000c,0.15m,2025-02-02 00:00:00,0.23000000417232513,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,"{""type"":""Point"",""coordinates"":[132.37060419015813,-15.258798554333854]}"
0000000000000000001f,0.1m,2024-12-31 23:30:00,0.6299999952316284,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,"{""type"":""Point"",""coordinates"":[147.08749265256776,-42.090556241435856]}"
0000000000000000000d,0.2-0.6m,2013-12-31 23:30:00,0.4099999964237213,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,"{""type"":""Point"",""coordinates"":[148.47459413546528,-23.858718946232756]}"
00000000000000000002,0.3m,2022-06-20 23:30:00,1.4900000095367432,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,"{""type"":""Point"",""coordinates"":[147.32083295159353,-36.86222012436107]}"
0000000000000000001c,0.4m,2017-07-12 17:30:00,0.4699999988079071,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,"{""type"":""Point"",""coordinates"":[145.57600454578437,-36.65600007794236]}"
0000000000000000002a,0.5 m,2025-01-01 00:00:00,0.949999988079071,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated","{""type"":""Point"",""coordinates"":[150.73486340934542,-33.61347070625622]}"
0000000000000000002b,0.5 m,2024-12-29 12:00:00,0.949999988079071,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated","{""type"":""Point"",""coordinates"":[150.76328571946007,-33.62081038659019]}"
