system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2000_03_05_0000000000000000000b_0,97,0,3,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000010_0,94,1,5,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000019_0,72,0,28,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000000c_0,74,19,7,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000001f_0,64,7,29,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000000d_0,63,29,8,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000002_0,23,4,73,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000001c_0,95,0,5,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000002a_0,84,7,9,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000002b_0,88,6,6,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
