SiteID,Benchmark_NSE,Optimized_NSE,Delta_NSE,Benchmark_Bias,Optimized_Bias
AU-Adr,0.9394693324875312,0.7061240918778791,-0.23334524060965212,0.032852450158028,-0.155472812799699
AU-Alp,0.440231881939821,-0.1932631494901711,-0.6334950314299921,0.0360233297939587,-0.059134659359509
AU-Boy,0.8516133026566617,0.8115149834428234,-0.04009831921383833,-0.2026677207325604,0.3703670327598812
AU-Col,0.9091535522058928,0.2882058663800321,-0.6209476858258607,0.1573318761134679,0.5575874448658787
AU-Cow,,0.5429187110693928,,,0.1726239529319826
AU-Ctr,0.3600330257415096,0.4277361129146755,0.06770308717316592,0.1992437001426503,0.1338397971642951
AU-DaP,0.9917197976650796,0.6222215075289644,-0.3694982901361151,-0.0053242569259444,-0.1450098472478128
AU-DaS,,0.940248135314554,,,0.0552803546230694
AU-Dig,,0.790606318430094,,,0.143601092321242
AU-Eme,0.9847488230116458,0.9599439129341336,-0.024804910077512177,-0.0377742433676537,-0.0662378826353647
AU-Fog,0.6746168066025653,-7.003440953204844,-7.67805775980741,-0.0193757435324687,-0.2328151976195077
AU-Gat,0.9042733819192352,0.7903430741315368,-0.11393030778769841,-0.0711934732784982,-0.1078050339485176
AU-Gin,,0.6743765095208123,,,-0.1456050966799109
AU-Gre,0.9185373041109792,0.8271493975873481,-0.09138790652363116,-0.1025495097047924,-0.1726186547844579
AU-Lit,0.949357005690121,0.8713032279692898,-0.07805377772083122,-0.0219443594495347,0.149141099563415
AU-Lox,-4.468394280334829,-5.852246569831101,-1.3838522894962715,-0.4353868677461913,-0.4789314014519205
AU-Otw,,0.8786267253435447,,,0.1154925741968338
AU-RDF,0.862610894233219,0.8540942117531674,-0.008516682480051663,-0.1778272316279575,-6.136461776489324e-05
AU-Rgf,0.8630549628522565,0.6138491808681392,-0.24920578198411725,-0.0579384719516639,-0.2331005897430163
AU-Rig,-0.0461318265596555,0.6821493428276474,0.7282811693873029,-0.5097330260844941,0.2456868185433862
AU-Rob,,0.8477131718883592,,,-0.0332922332216547
AU-SiP,0.8211167463694075,0.6027461259754694,-0.21837062039393806,-0.1240264109740867,-0.2503327109680233
AU-Stp,0.8455720702847158,0.7720490388204045,-0.07352303146431127,0.1799883891357522,-0.13018371129033
AU-Tum,,0.9537221434460744,,,-0.0363992069326333
AU-Wal,0.9739758564925772,0.7460557640459929,-0.2279200924465843,-0.0012822383271392,-0.0352716415916719
AU-War,,-0.3572344062663677,,,0.2661678429150861
AU-Whr,0.8684738970178756,0.4218425490674932,-0.4466313479503824,-0.0527157307955065,0.1999436102137682
AU-YarI,0.9223783049337662,0.924194854009312,0.001816549075545848,0.0860444120336386,0.0819001066675572
AU-Ync,0.9899800843851062,0.6309111248653213,-0.3590689595197849,-0.0407214547308625,-0.2257608911116119
