siteID,NSE_PT,Eo_PT,NSE_Ensemble,Eo_Ensemble,NSE_Diff
AU-Ctr,0.3787453411657769,0.0032740078313593,0.5293805710871244,0.0036109759389584,0.1506352299213475
AU-Stp,0.8656308037452661,0.0047019176163876,0.8916003048095514,0.0054178082385843,0.0259695010642853
AU-SiP,0.8789820543897926,0.0025556373485078,0.8852308968048052,0.0023753469908853,0.0062488424150125
AU-Alp,0.7101637081662662,0.0050549456865537,0.7138834860967458,0.0041705585052989,0.0037197779304796
AU-Gat,0.9284074198137894,0.0020638629365964,0.9308464301220964,0.0020452470974819,0.002439010308307
AU-Lit,0.9406148583304704,0.0048704314952157,0.9427831492396528,0.0042070236969265,0.0021682909091823
AU-Fog,0.6739550311224509,0.0052173102769699,0.6748155320939607,0.0044966463591806,0.0008605009715098
AU-YarI,0.9380905194015304,0.002558342937529,0.9380905194015304,0.002558342937529,0.0
AU-Whr,0.8985161998342003,0.0026527101750668,0.896897597005864,0.0030331465726509,-0.0016186028283362
AU-Eme,0.9805973727715256,0.00397389767901,0.9785585466904146,0.0044678676770673,-0.0020388260811109
AU-DaP,0.9936862813446766,0.0044245818837357,0.9840038803130348,0.0044276750508081,-0.0096824010316418
AU-Adr,0.9449239249969384,0.0052758452389963,0.932493965579788,0.0047681340609475,-0.0124299594171504
AU-Rgf,0.949263586838436,0.0025258045787022,0.9365477358923106,0.0031420937735554,-0.0127158509461254
AU-Wal,0.9648473217657696,0.0014414427197152,0.9515418904357824,0.0018231061232262,-0.0133054313299871
AU-RDF,0.8483658765941815,0.0041835543422628,0.8245654760976087,0.0050817011640482,-0.0238004004965728
AU-Ync,0.9751958504456516,0.0028943428677828,0.950728094649255,0.0032252945367031,-0.0244677557963965
AU-Gre,0.9191161813481744,0.0038099789526716,0.7377599999360052,0.0051628874159551,-0.1813561814121692
